delta1,delta2,delta3,delta4
00006,00070,00008,00005
00006,00103,00008,00005
00006,00120,00008,00005
00004,00109,00021,00013
00004,00109,00021,00013
00004,00109,00020,00013
00006,00041,00017,00012
00002,00029,00015,00011
00001,00020,00008,00007
00000,00014,00010,00008
00000,00006,00010,00008
00000,00010,00010,00008
00000,-0002,00010,00008
00003,00000,00002,00002
00003,00004,00002,00002
00001,00005,00003,00003
00000,-0001,-0002,-0001
00001,00006,00003,00002
00004,-0001,00001,00004
00002,00003,00005,00001
00002,-0002,00000,00001
00000,00002,00006,00004
00000,-0002,00001,00004
00000,00007,00007,00004
00001,00006,00003,00001
00001,00010,00002,00003
00003,00010,00003,00004
00000,00009,00005,00006
00002,00007,00003,00002
-0001,00006,00009,00003
00006,00001,00007,00005
00005,-0002,00003,00005
00003,00003,00001,00004
00001,00006,00003,00001
00001,00005,00001,00004
00003,00007,00004,00002
00003,00010,00004,00003
00001,00004,00003,00003
00001,00007,00007,00003
-0001,-0002,00001,00004
