delta1,delta2,delta3,delta4
0088,0125,0234,0189,
0083,0124,0216,0188,
0082,0116,0204,0173,
0080,0116,0201,0173,
0080,0116,0201,0176,
0083,0120,0210,0183,
0086,0125,0220,0191,
0099,0139,0254,0219,
0099,0139,0254,0219,
0100,0139,0255,0220,
0089,0138,0247,0212,
0089,0127,0242,0209,
0089,0127,0242,0209,
0088,0128,0242,0210,
0090,0129,0244,0210,
0090,0136,0245,0210,
0090,0136,0244,0202,
0090,0129,0243,0202,
0090,0126,0225,0194,
0086,0122,0217,0183,
0086,0119,0215,0182,
0086,0119,0215,0182,
0091,0127,0225,0199,
0094,0129,0242,0202,
0096,0135,0258,0222,
0114,0158,0305,0264,
0114,0158,0305,0264,
0105,0152,0289,0251,
0102,0151,0277,0239,
0093,0130,0243,0201,
