delta1,delta2,delta3,delta4
0007,0013,0023,0027,
0007,0013,0023,0027,
0015,0025,0041,0051,
0015,0025,0041,0051,
0015,0025,0041,0051,
0026,0037,0064,0061,
0026,0037,0064,0061,
0026,0037,0064,0061,
0038,0052,0082,0079,
0038,0052,0082,0079,
0038,0055,0082,0079,
0036,0057,0091,0082,
0036,0057,0091,0082,
0036,0057,0091,0082,
0033,0054,0083,0068,
0033,0054,0083,0068,
0033,0050,0083,0068,
0029,0044,0060,0045,
0029,0044,0059,0045,
0029,0042,0056,0042,
0024,0035,0043,0030,
0024,0035,0043,0030,
0024,0026,0042,0030,
0017,0016,0018,0016,
0017,0016,0018,0016,
0017,0016,0018,0016,
0004,0006,0006,0004,
0004,0006,0006,0004,
0004,0006,0006,0004,
0001,0001,0002,-002,
