delta1,delta2,delta3,delta4
-002,-002,0002,-001,
-002,0002,0003,-002,
-002,0002,0003,-002,
-001,0002,0003,-002,
0001,-004,0002,0001,
0001,-004,0002,0001,
0001,-004,0002,0001,
0001,0001,0004,-001,
0001,0001,0004,-001,
0001,0001,0004,-001,
0002,0002,0004,-001,
0002,0002,0004,-001,
0002,0002,0004,-001,
-001,-002,0000,-002,
-001,-002,0000,-002,
-001,-002,0000,-002,
-001,0002,0005,0003,
-001,0002,0005,0003,
-001,0002,0005,0003,
-001,0000,0001,-001,
-001,0000,0001,-001,
0001,0000,0001,-001,
0001,-003,0001,-001,
0001,-003,0001,-001,
0000,-003,0001,-001,
0002,0002,0005,0003,
0002,0002,0005,0003,
0002,0002,0005,0003,
0001,-002,0002,-003,
0001,-002,0002,-003,
