delta1,delta2,delta3,delta4
0017,0024,0033,0032,
0017,0024,0033,0032,
0021,0033,0041,0044,
0021,0033,0041,0044,
0021,0033,0041,0044,
0019,0035,0048,0047,
0019,0035,0048,0047,
0019,0035,0048,0047,
0020,0032,0044,0047,
0020,0032,0042,0047,
0010,0018,0031,0036,
0010,0016,0029,0030,
0010,0016,0015,0021,
0006,0012,0009,0012,
0006,0003,0005,0007,
0006,0003,0005,0007,
0006,0003,0005,0006,
0006,0003,0002,0002,
0006,0003,0002,0002,
0006,0003,0002,0002,
0005,0005,-001,0001,
0005,0005,-001,0001,
0005,0005,-001,0001,
0006,0006,-003,0000,
0006,0006,-003,0000,
0006,0006,-003,0000,
0003,0003,-002,0002,
0003,0003,-002,0002,
0003,0003,-002,0002,
0001,0002,0003,0003,
