time,delta0,delta1,delta2,delta3,delta4
665,0004,0003,0006,0011,0011,
666,0006,0003,0006,0012,0012,
667,0006,0003,0006,0012,0012,
668,0002,0002,0006,0012,0011,
669,0002,0002,0006,0017,0011,
670,0008,0002,0006,0017,0011,
671,0011,0007,0011,0017,0017,
672,0013,0009,0012,0024,0024,
673,0013,0009,0012,0024,0024,
674,0013,0009,0013,0028,0024,
675,0013,0012,0013,0027,0025,
676,0013,0012,0013,0027,0025,
677,0016,0014,0015,0027,0026,
678,0016,0014,0022,0036,0031,
679,0019,0014,0023,0036,0031,
680,0024,0016,0030,0040,0040,
681,0024,0016,0034,0048,0046,
682,0025,0017,0034,0048,0046,
683,0028,0022,0037,0051,0048,
684,0028,0024,0044,0060,0049,
685,0028,0024,0048,0060,0049,
686,0027,0031,0050,0060,0053,
687,0027,0031,0065,0065,0059,
688,0027,0031,0067,0065,0059,
689,0027,0027,0070,0065,0058,
690,0027,0025,0079,0074,0058,
691,0027,0025,0092,0074,0058,
692,0023,0024,0097,0074,0058,
693,0023,0022,0111,0088,0055,
694,0023,0022,0120,0091,0055,
695,0023,0022,0120,0093,0055,
696,0023,0022,0119,0114,0056,
697,0023,0022,0119,0122,0056,
698,0020,0016,0117,0136,0056,
699,0020,0016,0108,0216,0059,
700,0021,0016,0080,0300,0063,
701,0021,0016,0053,0300,0065,
702,0015,0016,0048,0242,0084,
703,0015,0016,0047,0213,0090,
704,0015,0016,0038,0181,0092,
705,0015,0016,0038,0173,0110,
706,0015,0016,0038,0148,0115,
707,0015,0016,0036,0121,0124,
708,0015,0016,0036,0116,0134,
709,0015,0016,0036,0105,0134,
710,0015,0016,0036,0082,0141,
711,0015,0016,0035,0078,0129,
712,0015,0016,0035,0067,0108,
713,0022,0016,0027,0048,0064,
714,0022,0016,0024,0044,0050,
715,0022,0016,0024,0044,0046,
716,0022,0016,0020,0037,0038,
717,0022,0016,0020,0032,0032,
718,0014,0008,0020,0032,0032,
719,0011,0003,0012,0032,0021,
720,0011,0003,0012,0024,0017,
721,0011,0003,0012,0024,0017,
722,0009,0001,0009,0022,0015,
723,0009,0001,0009,0020,0015,
724,0009,0001,0009,0020,0015,
725,0004,0000,0006,0015,0008,
726,0004,0000,0006,0010,0006,
727,0004,0000,0006,0010,0006,
728,0000,0000,0006,0010,0006,
729,0000,0000,0006,0008,0008,
730,0000,0000,0006,0008,0008,
731,-001,0001,0005,0008,0008,
