delta1,delta2,delta3,delta4
00005,00056,00006,00008
00005,00066,00006,00008
00004,00083,00022,00019
00004,00083,00022,00019
00004,00083,00024,00019
00004,00083,00022,00019
00004,00083,00021,00019
00004,00083,00019,00019
00002,00054,00016,00013
00001,00034,00012,00009
00001,00027,00011,00010
00006,00014,00006,00005
00006,00014,00006,00005
00006,00013,00006,00005
00006,00012,00006,00005
00006,00010,00006,00005
00006,00003,00006,00005
00003,00014,00002,00002
00005,00007,00005,00003
00004,00006,00005,00003
00001,-0001,00004,00003
00001,00006,00006,00003
-0001,00000,00001,00003
00000,00005,00005,00006
00000,00003,00002,00001
00001,00005,00004,00003
-0001,-0001,00001,-0001
00000,00006,00003,00003
00002,-0001,00004,00000
00004,-0001,00003,00005
00003,00002,-0001,00002
00003,00000,00001,00002
00000,00001,00004,00002
00002,00003,00001,00001
-0001,00002,00001,00002
-0001,00001,00000,00000
00000,00000,-0001,00001
00004,00004,00002,00001
00000,-0003,00001,00001
00003,00005,00002,00002
