delta1,delta2,delta3,delta4
00001,00060,00012,00013
00001,00069,00012,00013
00003,00090,00021,00016
00003,00090,00022,00016
00003,00090,00026,00016
00003,00090,00024,00016
00003,00090,00022,00016
00003,00090,00018,00016
00004,00046,00016,00014
00001,00028,00014,00013
00002,00014,00006,00007
00002,00011,00006,00007
00002,00002,00006,00007
00002,00000,00006,00007
00002,00003,00006,00007
00002,00004,00006,00007
00001,-0001,00001,00002
00000,00004,00006,00004
00000,-0002,00001,00000
00000,00003,00003,00004
00000,-0001,00001,00003
00002,00003,00003,00003
00000,00003,-0001,00001
00004,00009,00002,00002
00003,00004,00006,00001
00003,00009,00004,00003
00001,00005,00008,00003
00001,00004,00004,00002
00000,00007,00004,00003
00000,00002,00004,00003
-0001,00006,00003,00002
00003,00005,-0001,00002
00002,00007,00003,00003
00003,00005,00002,00000
00003,00003,00004,00003
00001,00002,00004,00003
00000,00009,00001,00004
00000,00001,00003,00002
00000,00006,00003,00003
00000,-0001,00000,00004
