delta1,delta2,delta3,delta4
00002,00051,00011,00018
00002,00047,00011,00018
00002,00055,00011,00018
00009,00052,00023,00030
00009,00052,00018,00027
00009,00052,00018,00021
00009,00052,00018,00019
00000,00015,00006,00009
00000,00017,00006,00009
00003,00009,00000,00004
00003,00004,00000,00004
00003,00002,00000,00004
00003,00005,00000,00004
00003,00003,00000,00004
00003,00005,00000,00004
00000,00004,00006,-0001
00001,00008,00000,00005
00002,00002,00002,00003
00000,00000,00006,00004
00000,00002,00002,00002
00000,00001,-0002,00003
00001,00006,00003,00001
-0001,-0003,00004,00003
-0001,00004,00003,00000
00001,00003,-0004,-0001
-0001,00006,00004,00001
-0002,00004,00001,00000
00003,00001,00004,00006
00002,00002,00002,00002
-0001,00004,00003,00001
-0002,-0004,00003,00001
00002,00003,00001,00000
00001,-0002,-0001,00000
00000,00002,00000,00001
00000,-0003,-0003,-0002
-0001,00001,-0001,-0001
00002,-0005,00000,-0002
00001,00002,00002,00002
00001,-0005,-0002,00000
00001,-0002,00001,00000
