delta1,delta2,delta3,delta4
00001,00018,00000,00039
00001,00018,00000,00040
00002,00018,00000,00042
00004,00021,00001,00045
00004,00031,00001,00045
00004,00022,00001,00045
00004,00020,00001,00045
00004,00025,00001,00053
00004,00023,00001,00053
00004,00024,00001,00053
00004,00024,00001,00053
00004,00023,00001,00053
00004,00029,00001,00053
00002,00018,00001,00027
00001,00011,00000,00015
00001,00012,00000,00009
00001,00007,00000,00008
00001,00006,00000,00004
00001,00002,00000,00000
00001,00005,00000,00003
00000,00005,00001,00000
00001,00004,00002,00003
-0001,00005,00002,00002
00000,00002,-0001,-0002
00001,00001,00000,-0001
00003,00004,00003,-0001
00003,00001,00001,00000
-0001,00001,00001,00002
00001,00002,00000,-0001
00001,00000,00003,-0004
00000,-0001,00002,-0001
00001,00005,00000,-0001
-0001,00001,-0001,-0002
00002,00005,00001,-0004
00000,-0001,00001,-0001
00005,-0001,00000,-0002
00004,00003,00001,-0001
00000,00004,00001,00000
00002,00003,00000,-0001
00001,00000,00001,00002
