delta1,delta2,delta3,delta4
0067,0112,0207,0158,
0067,0102,0205,0154,
0067,0101,0192,0149,
0067,0101,0192,0149,
0067,0101,0192,0149,
0067,0101,0192,0149,
0067,0108,0207,0159,
0078,0122,0231,0187,
0080,0122,0235,0190,
0080,0122,0237,0192,
0080,0122,0237,0190,
0075,0115,0227,0173,
0069,0106,0204,0156,
0068,0103,0203,0152,
0062,0097,0189,0145,
0062,0097,0189,0145,
0067,0112,0213,0165,
0075,0118,0222,0166,
0078,0126,0249,0193,
0085,0133,0266,0207,
0085,0133,0266,0207,
0080,0129,0248,0192,
0079,0124,0231,0176,
0067,0097,0190,0145,
0056,0094,0180,0135,
0056,0094,0180,0135,
0056,0094,0180,0135,
0056,0094,0180,0135,
0060,0094,0185,0138,
0062,0094,0189,0144,
