time,delta0,delta1,delta2,delta3,delta4
265,0003,0002,0000,0004,0001,
266,0003,0001,0003,0012,0007,
267,0003,0001,0003,0013,0007,
268,0003,0001,0008,0013,0007,
269,0003,0002,0008,0013,0013,
270,0003,0002,0008,0020,0015,
271,0006,0005,0010,0020,0015,
272,0006,0008,0013,0020,0021,
273,0006,0008,0013,0028,0021,
274,0016,0008,0013,0028,0021,
275,0016,0011,0018,0035,0032,
276,0016,0015,0022,0035,0032,
277,0016,0015,0022,0035,0032,
278,0016,0012,0020,0036,0030,
279,0016,0012,0020,0041,0030,
280,0013,0012,0024,0041,0030,
281,0017,0015,0024,0041,0038,
282,0017,0015,0024,0037,0038,
283,0018,0015,0022,0037,0038,
284,0018,0015,0024,0037,0034,
285,0018,0015,0024,0039,0034,
286,0015,0015,0025,0039,0034,
287,0015,0016,0031,0049,0038,
288,0015,0016,0034,0050,0038,
289,0017,0016,0037,0050,0040,
290,0017,0017,0037,0050,0047,
291,0017,0019,0039,0052,0047,
292,0018,0019,0042,0052,0047,
293,0018,0017,0045,0059,0047,
294,0018,0017,0045,0063,0047,
295,0017,0017,0052,0063,0047,
296,0017,0017,0052,0063,0048,
297,0017,0017,0052,0074,0048,
298,0018,0017,0052,0074,0048,
299,0021,0018,0052,0074,0052,
300,0021,0018,0051,0087,0052,
301,0021,0018,0048,0089,0052,
302,0020,0017,0039,0092,0058,
303,0020,0017,0038,0092,0064,
304,0020,0017,0037,0092,0068,
305,0018,0017,0029,0086,0070,
306,0018,0017,0029,0085,0081,
307,0018,0017,0028,0079,0089,
308,0018,0015,0028,0065,0091,
309,0018,0015,0028,0063,0089,
310,0019,0015,0028,0062,0078,
311,0019,0016,0017,0043,0052,
312,0018,0012,0017,0042,0046,
313,0014,0012,0017,0041,0042,
314,0011,0010,0017,0029,0028,
315,0011,0007,0017,0026,0028,
316,0012,0007,0009,0026,0028,
317,0012,0006,0009,0026,0019,
318,0011,0006,0009,0025,0019,
319,0009,0006,0009,0025,0019,
320,0008,0004,0009,0020,0018,
321,0008,0004,0009,0020,0018,
322,0006,0004,0007,0020,0018,
323,0006,0006,0006,0015,0015,
324,0006,0005,0006,0015,0015,
325,0006,0005,0006,0015,0015,
326,0006,0004,0007,0011,0014,
327,0006,0004,0007,0011,0010,
328,0005,0004,0007,0011,0010,
329,0002,0001,0002,0008,0003,
330,0002,0001,0002,0008,0003,
331,0007,0001,0002,0008,0003,
