delta1,delta2,delta3,delta4
0016,0024,0044,0045,
0023,0026,0047,0050,
0026,0042,0066,0070,
0026,0042,0066,0070,
0027,0045,0073,0070,
0033,0050,0073,0070,
0033,0050,0073,0070,
0034,0045,0064,0060,
0028,0040,0060,0053,
0028,0039,0060,0050,
0026,0036,0046,0047,
0024,0026,0039,0043,
0024,0025,0039,0033,
0024,0022,0026,0029,
0014,0019,0021,0021,
0014,0014,0021,0021,
0014,0014,0014,0019,
0011,0009,0009,0011,
0011,0007,0009,0011,
0011,0006,0009,0011,
0003,0002,-003,0007,
0003,0002,-003,0007,
0003,0002,-003,0007,
0004,0004,-005,-002,
0004,0004,-005,-002,
0004,0001,-005,-002,
0000,-001,-006,0003,
0000,-002,-005,0002,
0000,-002,-005,0002,
-001,0001,-006,-002,
