delta1,delta2,delta3,delta4
0001,0002,-003,-001,
0001,0002,-002,0000,
0004,0003,0009,0002,
0004,0003,0009,0002,
0004,0003,0009,0002,
0001,0001,0003,-001,
0001,0001,0003,-001,
0001,0001,0003,-001,
0005,0006,0007,0001,
0005,0006,0007,0001,
0005,0006,0007,0001,
0003,0003,0007,0001,
0003,0003,0007,0001,
0003,0003,0007,0001,
-002,0000,0003,-001,
-002,0000,0003,-001,
-002,0000,0003,-001,
0001,0001,0004,-001,
0001,0001,0004,-001,
0001,0001,0004,-001,
0001,-001,0004,0000,
0001,-001,0004,0000,
0002,-001,0004,0000,
0003,0001,0003,0000,
0003,0001,0003,0000,
0003,0001,0003,0000,
0001,0001,0005,-001,
0001,0001,0005,-001,
-001,0001,0005,-001,
0001,-001,0003,0001,
