delta1,delta2,delta3,delta4
0014,0016,0030,0033,
0014,0016,0030,0035,
0012,0016,0029,0031,
0012,0016,0029,0031,
0011,0018,0028,0028,
0008,0008,0022,0022,
0008,0008,0011,0020,
0008,0004,0009,0017,
0003,0003,0006,0001,
0003,0001,0006,0001,
0003,0001,0005,0001,
0005,0000,0003,0006,
0005,0000,0003,0006,
0005,0000,0003,0006,
0006,0002,0003,0005,
0006,0002,0003,0005,
0005,0002,0002,0005,
0000,-001,0002,0000,
0000,-001,0002,0000,
0000,-001,0002,0000,
0004,0003,-001,-001,
0004,0003,-001,-001,
0007,0003,-001,-001,
0004,0002,-003,-002,
0004,0002,-003,-002,
0004,0002,-003,-002,
0005,-002,0003,-002,
0005,-002,0003,-002,
0006,-002,0003,-002,
0002,-001,-004,0003,
