time,delta0,delta1,delta2,delta3,delta4
506,-5,-4,-2,-2,-1
507,-4,-4,-2,-3,-7
508,-4,-4,-2,-3,-7
509,-4,-4,-2,-3,-7
510,-2,-9,1,-2,-5
511,-2,-9,1,-2,-5
512,-2,-9,1,-2,-5
513,-6,-9,-3,-4,-1
514,-6,-9,-3,-4,-1
515,-6,-9,-3,-4,-1
516,-5,-6,-1,-6,-5
517,-5,-6,-1,-6,-5
518,-5,-6,-1,-6,-5
519,-6,-6,-2,-3,-3
520,-6,-6,-2,-3,-3
521,-6,-6,-2,-3,-3
522,-4,-5,2,-2,4
523,-4,-5,2,-2,4
524,-4,-5,2,-2,4
525,3,-4,6,7,7
526,3,-4,6,7,7
527,3,-4,6,7,7
528,2,-2,10,10,20
529,2,-2,10,10,20
530,2,-2,10,10,20
531,5,3,7,17,28
532,5,3,7,17,28
533,5,3,7,17,28
534,10,6,16,39,56
535,10,6,16,39,56
536,10,6,16,39,56
537,15,3,20,60,92
538,15,3,20,64,92
539,15,3,20,64,92
540,14,7,22,98,105
541,14,7,22,102,105
542,14,7,22,103,105
543,14,7,24,123,93
544,14,7,24,123,93
545,14,7,24,123,93
546,14,7,31,139,77
547,14,7,31,139,77
548,14,7,31,139,69
549,15,3,46,144,49
550,15,3,50,144,45
551,15,3,52,114,45
552,16,7,79,111,26
553,16,7,79,77,26
554,16,7,83,67,26
555,23,25,72,52,25
556,23,25,66,52,25
557,23,25,53,52,25
558,23,25,52,33,20
559,17,19,43,33,20
560,17,19,36,33,20
561,15,16,30,18,11
562,15,16,23,18,11
563,12,12,21,18,11
564,2,6,10,4,1
565,-1,6,10,4,1
566,-1,6,7,4,1
567,-1,-9,4,-2,-8
568,-1,-9,4,-2,-8
569,-1,-9,4,-2,-8
570,-1,-10,-5,-6,-6
571,-1,-10,-5,-6,-6
572,-1,-10,-5,-6,-6
573,-5,-5,-8,-6,-10
574,-5,-5,-8,-6,-10
575,-5,-5,-8,-6,-10
576,-4,-9,-5,-8,-7
577,-4,-9,-5,-8,-7
578,-4,-9,-5,-8,-7
579,-7,-5,-3,-7,-10
580,-7,-5,-3,-7,-10
581,-7,-5,-3,-7,-10
582,-9,-12,-1,-4,-9
