time,delta0,delta1,delta2,delta3,delta4
821,0006,0004,0007,0004,0007,
822,0005,0004,0007,0004,0007,
823,0005,0004,0007,0004,0007,
824,0005,0004,0006,0013,0012,
825,0011,0005,0006,0013,0012,
826,0011,0005,0006,0013,0012,
827,0012,0006,0010,0023,0021,
828,0012,0006,0014,0023,0024,
829,0012,0006,0014,0023,0024,
830,0012,0013,0016,0028,0030,
831,0017,0013,0022,0029,0030,
832,0017,0013,0022,0029,0030,
833,0017,0015,0022,0037,0035,
834,0017,0015,0023,0037,0037,
835,0017,0015,0024,0037,0037,
836,0017,0017,0029,0045,0041,
837,0019,0020,0036,0045,0041,
838,0019,0020,0039,0045,0041,
839,0019,0020,0041,0054,0044,
840,0025,0024,0057,0056,0047,
841,0025,0024,0058,0056,0047,
842,0023,0020,0066,0066,0054,
843,0019,0018,0068,0066,0050,
844,0019,0018,0068,0066,0050,
845,0019,0016,0067,0078,0048,
846,0015,0016,0064,0083,0048,
847,0015,0016,0064,0091,0048,
848,0015,0016,0055,0098,0049,
849,0017,0015,0050,0107,0053,
850,0017,0015,0040,0119,0053,
851,0017,0015,0040,0126,0057,
852,0017,0015,0033,0131,0065,
853,0017,0015,0030,0147,0070,
854,0017,0015,0030,0152,0073,
855,0018,0014,0031,0152,0136,
856,0018,0014,0031,0141,0194,
857,0018,0013,0032,0078,0194,
858,0024,0013,0032,0073,0155,
859,0024,0016,0032,0066,0089,
860,0024,0016,0029,0047,0059,
861,0024,0016,0028,0047,0054,
862,0024,0016,0024,0045,0049,
863,0013,0003,0012,0027,0021,
864,0010,0003,0012,0027,0021,
865,0010,0003,0012,0027,0021,
866,0007,0004,0012,0013,0006,
867,0005,0002,0007,0013,0006,
868,0005,0002,0008,0013,0006,
869,0005,-006,0008,0004,0000,
870,0002,-006,0008,0004,0000,
871,0002,-005,0005,0004,0000,
872,0001,0001,0004,0004,0004,
873,-001,0001,0004,0004,0004,
874,-001,0001,0004,0004,0004,
875,-001,-001,0000,0005,0006,
876,0000,-001,0000,0005,0006,
