time,delta0,delta1,delta2,delta3,delta4
488,-3,-2,1,-2,-6
489,-4,-2,1,-2,-6
490,-4,-2,1,-2,-6
491,-3,-5,1,-2,-6
492,-3,-5,1,-2,-6
493,-3,-5,1,-2,-6
494,-5,1,-3,-5,-6
495,-4,1,-3,-5,-6
496,-4,1,-3,-5,-6
497,-4,2,-3,0,-3
498,-5,2,-3,0,-3
499,-5,2,-3,0,-3
500,-3,-1,5,2,0
501,-3,-1,5,2,0
502,-3,-1,5,2,0
503,4,2,6,6,1
504,4,2,6,6,1
505,4,2,6,6,1
506,6,7,15,17,8
507,7,7,15,17,8
508,7,7,15,17,8
509,13,14,22,23,22
510,13,14,22,24,22
511,13,14,22,24,22
512,18,22,26,31,30
513,18,22,26,31,30
514,18,22,26,31,30
515,20,26,34,35,29
516,20,26,34,35,29
517,20,26,34,35,29
518,20,32,49,49,36
519,20,35,49,49,36
520,20,35,49,49,36
521,23,37,65,60,40
522,23,37,65,60,40
523,23,37,65,60,40
524,29,36,79,67,51
525,29,36,84,67,51
526,29,36,89,67,51
527,30,36,114,77,53
528,30,36,115,77,53
529,30,36,115,77,53
530,30,36,130,84,52
531,30,36,135,84,52
532,30,36,135,84,52
533,23,30,151,97,47
534,23,30,155,102,47
535,23,30,158,102,47
536,20,31,161,129,44
537,20,31,161,132,44
538,20,31,161,144,44
539,22,20,160,166,48
540,22,20,143,174,48
541,22,20,128,180,48
542,16,19,126,211,48
543,16,19,107,213,48
544,16,19,97,213,48
545,18,22,92,223,59
546,18,22,79,226,59
547,18,22,77,226,59
548,14,6,62,226,60
549,14,4,52,209,77
550,14,4,52,209,77
551,14,4,51,209,80
552,14,4,45,201,92
553,14,4,45,201,92
554,14,4,45,200,96
555,14,4,41,189,109
556,14,6,41,179,109
557,10,6,35,179,113
558,13,10,32,141,123
559,13,10,32,123,123
560,13,10,32,118,123
561,15,11,26,84,122
562,15,11,26,82,122
563,15,11,26,72,122
564,13,3,26,47,81
565,13,3,26,47,81
566,13,3,26,47,81
567,13,3,23,32,54
568,13,5,23,32,54
569,12,5,23,32,42
570,0,-3,8,7,7
571,0,-3,8,7,7
572,0,-3,7,5,5
573,-6,-8,-1,-3,-3
