delta0,delta1,delta2,delta3,delta4
0012,0015,0030,0040,0037
0012,0015,0032,0044,0044
0021,0023,0048,0069,0062
0021,0023,0048,0072,0062
0024,0023,0050,0079,0062
0023,0026,0059,0099,0082
0023,0026,0065,0112,0099
0023,0018,0071,0137,0112
0023,0018,0089,0168,0139
0023,0018,0098,0180,0143
0023,0018,0098,0183,0150
0035,0028,0098,0180,0143
0035,0028,0097,0165,0136
0027,0023,0074,0129,0097
0023,0017,0073,0116,0094
0021,0017,0050,0082,0062
0008,0015,0030,0036,0027
0008,0015,0030,0033,0026
0008,0015,0024,0022,0022
0008,0015,0016,0022,0018
0008,0015,0016,0011,0010
0007,0006,0016,0009,0010
-001,0003,0014,0009,0009
-001,0001,0013,0005,0009
-001,0001,0010,0005,0009
0005,0001,0010,0005,0010
0005,0006,0005,0000,0003
0005,0006,0005,0000,0003
-002,-001,0002,0000,0003
-002,-001,0002,0001,0009
