delta0,delta1,delta2,delta3,delta4
0035,0041,0037,0041,0033
0043,0046,0037,0046,0045
0070,0075,0045,0052,0050
0070,0075,0045,0052,0050
0067,0068,0044,0051,0049
0065,0068,0044,0051,0049
0064,0068,0044,0051,0049
0049,0052,0041,0042,0039
0049,0050,0041,0042,0039
0049,0048,0041,0042,0039
0023,0021,0026,0027,0023
0019,0018,0026,0027,0022
0018,0013,0024,0024,0022
0008,0001,0012,0010,0007
0007,0001,0011,0010,0007
0006,0000,0006,0010,0007
-002,-002,0000,0000,-003
-002,-002,0000,0000,-003
-002,-002,0000,0000,-003
-001,-003,-003,-002,-005
-001,-003,-003,-002,-005
-001,-003,-003,-002,-005
0000,-001,-004,0000,-003
0000,-001,-004,0000,-003
0000,-001,-004,0000,-003
-001,0001,0001,-001,-006
-001,0001,0001,-001,-006
-001,0001,0001,-001,-006
-002,-003,-008,0001,0000
-002,-003,-008,0001,0000
