delta0,delta1,delta2,delta3,delta4
0046,0020,0024,0027,0027
0051,0021,0024,0029,0029
0063,0021,0024,0032,0032
0068,0023,0024,0032,0032
0069,0024,0026,0031,0032
0072,0024,0026,0031,0032
0072,0024,0027,0032,0032
0065,0019,0027,0032,0024
0047,0019,0027,0028,0024
0038,0019,0024,0024,0023
0025,0011,0019,0022,0016
0021,0011,0015,0016,0016
0016,0011,0013,0015,0015
0008,0008,0012,0014,0011
0007,0008,0011,0012,0010
0007,0007,0010,0009,0010
0005,0005,0008,0009,0006
0005,0005,0008,0008,0006
0005,0005,0007,0005,0006
0005,0003,0006,0005,0004
0003,0003,0006,0005,0003
0004,0005,0001,0005,0003
0004,0005,0001,0002,0003
0004,0005,0001,0002,0003
0004,0005,0001,0002,0003
0004,0005,0007,0002,0003
0004,0005,0007,0002,0002
0004,0000,0007,0003,0002
0001,0000,0000,0002,0000
0001,0000,0000,0002,0000
