delta0,delta1,delta2,delta3,delta4
0131,0177,0161,0273,0259
0131,0177,0161,0273,0259
0131,0177,0161,0273,0259
0123,0174,0162,0260,0246
0123,0174,0162,0260,0246
0123,0174,0162,0260,0246
0122,0167,0152,0253,0240
0122,0167,0152,0253,0240
0122,0167,0152,0253,0240
0128,0173,0159,0265,0254
0132,0173,0159,0265,0254
0132,0173,0159,0265,0254
0137,0183,0168,0279,0272
0137,0183,0168,0281,0272
0137,0183,0168,0283,0272
0143,0191,0178,0295,0293
0143,0191,0178,0295,0293
0143,0191,0178,0295,0293
0143,0188,0175,0294,0283
0143,0188,0175,0294,0283
0143,0188,0175,0294,0283
0140,0183,0173,0287,0279
0140,0183,0173,0287,0279
0140,0183,0173,0287,0279
0151,0201,0188,0308,0299
0151,0201,0188,0311,0306
0151,0201,0188,0314,0309
0163,0216,0199,0325,0329
0167,0216,0204,0346,0342
0168,0216,0212,0370,0370
