delta0,delta1,delta2,delta3,delta4
0002,0001,0004,0003,0004
0002,0001,0004,0003,0004
0002,0004,0004,0001,0004
0005,0004,0004,0001,0004
0005,0004,0004,0001,0004
0005,0001,0000,0002,0002
0006,0001,0000,0002,0002
0006,0001,0000,0002,0002
0004,0001,0003,0000,0001
0004,0001,0003,0000,0001
0004,0001,0003,-002,0001
0002,0004,0004,-001,0003
0002,0002,0004,-001,0003
0002,0002,0004,-001,0003
0005,0001,0003,-002,0002
0006,0001,0003,-002,0002
0006,0001,0003,-002,0002
0000,-003,0003,0000,0005
0000,-003,0003,0000,0005
0000,-003,0003,0000,0005
0005,0005,0000,0000,0000
0005,0003,0000,0000,0000
0005,0003,0000,0000,0000
-001,0002,0006,0003,0004
-001,0002,0006,0003,0004
-001,0002,0006,0003,0004
0000,-002,0004,0005,0002
0000,-002,0004,0005,0002
0000,-001,0004,0005,0002
0004,0003,0002,0000,0001
