delta0,delta1,delta2,delta3,delta4
0018,0016,0028,0035,0027
0018,0016,0028,0035,0027
0016,0017,0035,0048,0031
0016,0017,0035,0048,0031
0016,0017,0035,0048,0031
0025,0017,0050,0064,0040
0025,0017,0050,0064,0040
0025,0017,0050,0064,0040
0018,0018,0047,0071,0041
0018,0018,0047,0071,0041
0018,0018,0044,0070,0041
0012,0011,0024,0042,0028
0012,0011,0024,0042,0028
0012,0011,0020,0030,0027
0007,0001,0009,0015,0014
0007,0001,0009,0015,0014
0007,0001,0009,0015,0014
0005,0000,0007,0005,0007
0005,0000,0007,0005,0007
0005,0000,0007,0005,0007
-002,0000,0001,0005,0000
-002,0000,0001,0005,0000
-002,0000,0001,0005,0000
0001,-004,0002,0002,0004
0001,-004,0002,0002,0004
0001,-004,0002,0002,0004
0000,0000,0003,0004,0005
0000,0000,0003,0004,0005
0000,0000,0003,0004,0005
0004,-002,0001,0003,0004
