delta0,delta1,delta2,delta3,delta4
0008,0007,0034,0028,0019
0008,0008,0036,0029,0019
0012,0011,0054,0041,0023
0012,0011,0067,0043,0023
0012,0011,0081,0048,0025
0014,0013,0108,0062,0028
0014,0018,0125,0062,0028
0014,0018,0131,0065,0028
0014,0018,0132,0070,0033
0014,0018,0132,0070,0033
0014,0018,0111,0066,0033
0016,0013,0080,0059,0028
0016,0013,0049,0038,0027
0009,0006,0036,0032,0025
0009,0006,0034,0028,0023
0009,0006,0027,0026,0023
0009,0006,0027,0019,0017
0009,0006,0023,0018,0010
0005,0004,0019,0015,0009
0005,0002,0018,0014,0009
0001,0000,0017,0004,0003
0001,0000,0012,0003,0003
0001,0000,0011,0002,0003
0000,0003,0004,0002,0005
0001,0003,0002,0001,0005
0003,0002,0002,0001,0005
0003,0000,0002,0001,0001
0001,0000,0002,0000,0001
0001,0000,0002,0000,0001
0001,0002,0001,0000,0003
