delta0,delta1,delta2,delta3,delta4
0006,0006,0025,0032,0028
0006,0006,0025,0032,0028
0008,0012,0032,0047,0032
0008,0012,0032,0047,0032
0008,0012,0032,0047,0032
0008,0012,0035,0082,0037
0008,0012,0035,0082,0037
0008,0012,0035,0082,0037
0009,0008,0031,0084,0042
0009,0008,0031,0084,0042
0009,0008,0031,0059,0042
0008,0009,0023,0045,0029
0008,0009,0023,0035,0029
0008,0009,0023,0033,0029
0008,0004,0020,0018,0017
0008,0004,0020,0018,0017
0008,0004,0020,0018,0017
0005,0006,0012,0010,0012
0005,0006,0012,0010,0012
0005,0006,0012,0010,0012
0003,0002,0009,0006,0007
0003,0002,0009,0006,0007
0003,0002,0009,0006,0007
0004,0002,0014,0006,0010
0004,0002,0014,0006,0010
0004,0002,0014,0006,0010
0002,0002,0003,0006,0011
0002,0002,0003,0006,0011
0002,0002,0003,0006,0011
0005,0001,0011,0009,0007
