delta0,delta1,delta2,delta3,delta4
0008,0005,0011,0027,0041
0008,0005,0011,0027,0041
0008,0005,0017,0036,0050
0008,0005,0017,0036,0050
0008,0005,0017,0036,0050
0009,0005,0012,0038,0054
0009,0005,0012,0038,0056
0009,0005,0012,0038,0058
0012,0007,0020,0049,0084
0012,0007,0020,0049,0084
0012,0007,0020,0049,0084
0009,0003,0019,0059,0097
0009,0003,0019,0059,0097
0009,0003,0019,0044,0066
0008,0004,0015,0041,0060
0008,0004,0015,0029,0038
0008,0004,0015,0022,0025
0005,0001,0011,0014,0023
0004,0001,0010,0014,0019
0004,0001,0010,0014,0018
0006,0001,0007,0005,0004
0006,0001,0007,0005,0004
0006,0001,0007,0005,0004
0005,0001,0002,-001,0001
0005,0001,0002,-002,0001
0005,0001,0002,-002,0001
0000,-002,-004,-002,-001
0000,-002,-004,-002,-001
0000,-002,-004,-002,-001
0005,0000,0002,-002,-005
