delta0,delta1,delta2,delta3,delta4
0020,0022,0036,0049,0047
0037,0029,0052,0069,0067
0037,0035,0063,0091,0077
0037,0052,0090,0126,0099
0041,0056,0090,0126,0099
0041,0056,0078,0115,0088
0041,0056,0068,0100,0086
0041,0056,0056,0088,0070
0014,0018,0034,0048,0043
0010,0012,0027,0032,0028
0006,0012,0024,0020,0022
0002,0012,0014,0014,0014
0002,0009,0014,0011,0014
0002,0009,0012,0011,0014
0001,0006,0008,0011,0007
0001,0005,0008,0004,0007
0001,0005,0008,0004,0007
0000,0000,0006,0004,0003
0000,0000,0006,0004,0003
0002,0000,0006,0004,0003
0002,0001,0000,0006,0004
0002,0001,0000,0004,0004
0001,0001,0000,0004,0004
0001,0004,0001,0004,0003
0001,0004,0001,0005,0003
-002,0004,0001,0005,0003
0001,0008,0009,0005,0004
0001,0003,0007,0006,0004
0001,0003,0007,0006,0004
-003,0002,0002,0011,0004
