time,delta0,delta1,delta2,delta3,delta4
0,0021,0017,0040,0047,0047,
1,0024,0021,0049,0057,0053,
2,0035,0031,0059,0082,0072,
3,0035,0031,0063,0084,0072,
4,0035,0031,0063,0084,0072,
5,0025,0028,0056,0074,0061,
6,0025,0028,0055,0074,0061,
7,0025,0028,0050,0074,0061,
8,0007,0006,0021,0023,0018,
9,0007,0006,0021,0023,0018,
10,0007,0006,0021,0023,0018,
11,0004,-003,0006,0003,0007,
12,0004,-003,0006,0003,0007,
13,0004,-003,0006,0003,0007,
14,0003,0000,0006,0000,0005,
15,0003,0000,0006,0000,0005,
16,0003,0000,0006,0000,0005,
17,0001,0001,0006,0004,0000,
18,0001,0001,0006,0004,0000,
19,0001,0001,0006,0004,0000,
20,0000,-002,-002,-001,0010,
21,0000,-002,-002,-001,0010,
22,0000,-002,-002,-001,0010,
23,0005,0004,0002,-002,-001,
24,0005,0004,0002,-002,-001,
25,0005,0004,0002,-002,-001,
26,0005,0003,0001,0000,-001,
27,0005,0003,0001,0000,-001,
28,0005,0003,0001,0000,-001,
29,-001,0001,0001,0001,0000,
