delta0,delta1,delta2,delta3,delta4
0013,0014,0023,0043,0058
0013,0014,0023,0043,0058
0013,0014,0023,0043,0060
0014,0013,0030,0079,0047
0014,0013,0030,0079,0047
0014,0013,0030,0081,0047
0017,0016,0046,0099,0038
0017,0016,0046,0099,0038
0017,0016,0048,0088,0038
0018,0019,0076,0071,0037
0018,0019,0076,0071,0037
0018,0019,0076,0053,0037
0030,0029,0068,0046,0035
0032,0031,0063,0053,0047
0059,0075,0056,0046,0043
0059,0075,0045,0043,0043
0053,0057,0045,0043,0043
0041,0056,0034,0036,0040
0027,0026,0034,0034,0040
0019,0025,0034,0023,0038
0011,0013,0024,0018,0017
0003,0006,0006,0002,0003
0003,0006,0006,0002,0003
0001,0001,0000,-003,-003
0001,0001,-002,-003,-003
0001,0001,-002,-003,-003
-003,0002,-001,-007,-007
-003,0002,-001,-007,-007
-003,0002,-001,-007,-007
-002,0002,-006,-006,-007
