time,delta0,delta1,delta2,delta3,delta4
0,0022,0021,0042,0066,0059,
1,0022,0021,0045,0068,0059,
2,0035,0019,0040,0059,0050,
3,0035,0019,0040,0048,0050,
4,0025,0019,0039,0041,0048,
5,0009,0008,0020,0019,0019,
6,0008,0008,0014,0019,0018,
7,0008,0008,0014,0019,0018,
8,0001,0003,0005,0004,0007,
9,0001,0003,0005,0004,0007,
10,0001,0003,0005,0004,0007,
11,0002,0001,0000,0003,0010,
12,0002,0001,0000,0003,0010,
13,0002,0001,0000,0003,0010,
14,0004,0001,0001,0002,0011,
15,0004,0001,0001,0002,0011,
16,0004,0001,0001,0002,0011,
17,-002,-002,0004,0004,0005,
18,-002,-002,0004,0004,0005,
19,-002,-002,0004,0004,0005,
20,0003,-001,0001,-001,0010,
21,0003,-001,0001,-001,0010,
22,0003,-001,0001,-001,0010,
23,0001,0002,0006,0005,0003,
24,0001,0002,0006,0005,0003,
25,0001,0002,0006,0005,0003,
26,0000,0000,0008,0004,0003,
27,0000,0000,0008,0004,0003,
28,0000,0000,0008,0004,0003,
29,0003,0001,0003,0004,0005,
