delta0,delta1,delta2,delta3,delta4
0011,0013,0025,0038,0031
0011,0013,0022,0039,0031
0010,0012,0018,0031,0035
0010,0012,0018,0029,0035
0007,0009,0018,0016,0022
0004,0006,0006,0009,0015
0004,0006,0006,0008,0009
0003,0006,0006,0008,0006
0001,0001,0005,0004,0006
0001,0001,0005,0004,0006
0001,0001,0004,0004,0005
-001,0002,0002,0002,0005
-001,0002,0002,0002,0005
-001,0002,0001,0002,0004
0002,0004,-002,-001,0002
0002,0004,-002,-001,0002
0002,0005,-002,-001,0002
0003,0003,0001,0001,0004
0003,0003,0001,0001,0004
0003,0003,0001,0001,0004
0002,0002,0000,-003,0002
0002,0002,0000,-003,0002
0002,0002,0000,-003,0002
0001,0003,0001,0001,0002
0001,0003,0001,0001,0002
0001,0004,0000,0001,0004
0003,0004,0000,-003,0001
0003,0004,0000,-003,0001
0002,0004,0004,-003,0001
0002,0005,0002,0000,0001
