time,delta0,delta1,delta2,delta3,delta4
0,0025,0020,0032,0036,0034,
1,0025,0020,0032,0036,0034,
2,0023,0022,0043,0071,0049,
3,0023,0022,0043,0071,0049,
4,0023,0022,0042,0064,0049,
5,0014,0011,0016,0038,0027,
6,0014,0011,0016,0022,0027,
7,0014,0011,0016,0022,0027,
8,0004,0001,0011,0008,0004,
9,0004,0001,0011,0008,0004,
10,0004,0001,0011,0008,0004,
11,0006,0007,0001,0002,0004,
12,0006,0007,0001,0002,0004,
13,0006,0007,0001,0002,0004,
14,0005,0004,0001,0005,0000,
15,0005,0004,0001,0005,0000,
16,0005,0004,0001,0005,0000,
17,0003,0002,0006,0001,0004,
18,0003,0002,0006,0001,0004,
19,0003,0002,0006,0001,0004,
20,0008,0004,-002,0002,0001,
21,0008,0004,-002,0002,0001,
22,0008,0004,-002,0002,0001,
23,0003,0002,0000,0000,0000,
24,0003,0002,0000,0000,0000,
25,0003,0002,0000,0000,0000,
26,0001,-003,0001,-002,0003,
27,0001,-003,0001,-002,0003,
28,0001,-003,0001,-002,0003,
29,-001,0004,0000,0004,0001,
