delta0,delta1,delta2,delta3,delta4
0029,0028,0040,0053,0051
0029,0028,0043,0062,0051
0031,0030,0048,0071,0051
0053,0042,0067,0112,0099
0059,0042,0067,0112,0099
0059,0042,0054,0096,0091
0059,0042,0050,0088,0083
0043,0028,0045,0074,0070
0026,0022,0035,0042,0045
0019,0015,0024,0038,0037
0017,0012,0023,0028,0029
0017,0012,0023,0026,0029
0010,0011,0020,0022,0020
0010,0011,0020,0022,0020
0010,0011,0017,0019,0020
0007,0008,0014,0017,0016
0007,0008,0014,0017,0016
0007,0008,0014,0017,0016
0013,0012,0011,0011,0019
0013,0012,0011,0011,0019
0013,0012,0011,0011,0019
0008,0009,0009,0012,0012
0008,0009,0009,0012,0012
0008,0009,0009,0012,0012
0008,0007,0015,0015,0012
0008,0007,0015,0015,0012
0008,0007,0014,0015,0012
0006,0009,0012,0016,0014
0006,0009,0012,0016,0014
0006,0009,0012,0014,0014
