delta0,delta1,delta2,delta3,delta4
0014,0016,0036,0040,0035
0014,0021,0056,0085,0047
0035,0044,0075,0094,0086
0044,0049,0091,0134,0112
0073,0068,0091,0134,0112
0073,0068,0083,0113,0111
0073,0068,0083,0113,0111
0073,0068,0083,0113,0111
0040,0019,0047,0054,0045
0027,0019,0046,0054,0045
0027,0019,0046,0048,0045
0027,0019,0031,0021,0020
0027,0019,0031,0021,0020
0019,0019,0031,0021,0020
0001,0001,0016,0007,0004
0001,0001,0016,0007,0004
0001,0001,0016,0007,0004
-003,-003,0008,0000,-004
-003,-003,0008,0000,-004
-003,-003,0008,0000,-004
-005,0000,-001,-001,-003
-005,0000,-001,-001,-003
-005,0000,-001,-001,-003
0002,-004,-001,0000,-002
0002,-004,-001,0000,-002
0002,-004,-001,0000,-002
-003,-003,0004,0000,-007
-003,-003,0004,0000,-007
-003,-003,0004,0000,-007
-006,-001,-001,-006,-009
