time,delta0,delta1,delta2,delta3,delta4
0,0019,0021,0032,0050,0049,
1,0030,0028,0050,0075,0064,
2,0031,0039,0053,0075,0067,
3,0043,0040,0064,0090,0084,
4,0043,0040,0064,0090,0084,
5,0028,0026,0038,0056,0051,
6,0027,0026,0033,0049,0047,
7,0023,0025,0029,0041,0044,
8,0015,0014,0019,0019,0021,
9,0013,0014,0019,0019,0021,
10,0013,0014,0019,0018,0018,
11,0006,0007,0007,0009,0009,
12,0006,0007,0007,0009,0009,
13,0006,0007,0007,0009,0009,
14,0001,0007,0003,0004,0008,
15,0001,0007,0003,0004,0008,
16,0001,0007,0003,0004,0008,
17,0002,0006,0007,0004,0009,
18,0002,0006,0007,0004,0009,
19,0002,0006,0007,0004,0009,
20,0003,0006,0002,0006,0007,
21,0003,0006,0002,0006,0007,
22,0003,0006,0002,0006,0007,
23,0006,0006,0003,0007,0008,
24,0006,0006,0003,0007,0008,
25,0006,0006,0003,0007,0008,
26,0003,0006,0004,0005,0005,
27,0003,0006,0004,0005,0005,
28,0003,0006,0004,0005,0005,
29,0002,0006,0001,0006,0005,
