time,delta0,delta1,delta2,delta3,delta4
0,0003,0002,0005,0004,0005,
1,0007,0008,0001,0005,0002,
2,0007,0008,0001,0005,0002,
3,0007,0008,0001,0005,0002,
4,0002,0002,0001,0003,0007,
5,0002,0002,0001,0003,0007,
6,0002,0002,0002,0003,0007,
7,0007,0005,0002,0005,0003,
8,0007,0005,0002,0005,0003,
9,0007,0005,0001,0005,0003,
10,0006,0007,0001,0005,0004,
11,0006,0007,0001,0005,0004,
12,0006,0007,0001,0006,0004,
13,0008,0005,0001,0006,0004,
14,0008,0005,0001,0006,0004,
15,0008,0005,0002,0005,0004,
16,0005,0007,0002,0007,0002,
17,0005,0007,0002,0007,0002,
18,0005,0007,0001,0007,0002,
19,0002,0003,0006,0007,0002,
20,0002,0003,0006,0007,0002,
21,0002,0003,0006,0007,0002,
22,0008,0005,0003,0008,0003,
23,0008,0005,0003,0008,0003,
24,0008,0005,0004,0008,0003,
25,0001,0001,0004,0004,0004,
26,0001,0001,0004,0004,0004,
27,0001,0001,0004,0004,0004,
28,0006,0003,0004,0004,0004,
29,0006,0003,0004,0004,0004,
30,0006,0003,0004,0008,0004,
31,0003,-001,0001,0008,0004,
32,0003,-001,0001,0008,0004,
33,0003,0002,0002,0004,0004,
34,0006,0003,0002,0005,0006,
35,0006,0003,0002,0005,0006,
36,0006,0003,0002,0005,0006,
37,0004,0001,0004,0009,0002,
38,0004,0001,0004,0009,0002,
39,0002,0003,0004,0009,0002,
40,0002,0003,0004,0009,0000,
41,0002,0003,0004,0009,0000,
42,0002,0002,0004,0009,0000,
43,0002,0002,0006,0009,0001,
44,0002,0002,0006,0009,0001,
45,0002,0002,0006,0009,0001,
46,0003,0005,0005,0008,0000,
47,0003,0005,0005,0008,0000,
48,0005,0005,0005,0008,0000,
49,0008,0003,0003,0006,0002,
50,0008,0003,0003,0006,0002,
51,0008,0003,0005,0006,0002,
52,0003,0002,0005,0005,0005,
53,0003,0002,0005,0005,0005,
54,0003,0002,0004,0005,0005,
55,0005,0002,0004,0007,0007,
56,0005,0002,0004,0007,0007,
57,0006,0002,0007,0007,0007,
58,0006,0005,0007,0010,0011,
59,0006,0005,0007,0010,0011,
60,0004,0005,0004,0010,0011,
61,0006,0006,0005,0010,0011,
62,0006,0006,0005,0010,0011,
63,0006,0006,0005,0010,0011,
64,0008,0005,0013,0014,0007,
65,0008,0005,0013,0014,0007,
66,0010,0005,0013,0014,0007,
67,0010,0006,0012,0013,0014,
68,0010,0006,0012,0013,0014,
69,0009,0006,0012,0015,0014,
70,0013,0013,0009,0016,0013,
71,0013,0013,0009,0016,0013,
72,0013,0013,0010,0016,0013,
73,0011,0011,0017,0024,0016,
74,0011,0011,0017,0024,0016,
75,0012,0012,0020,0025,0019,
76,0014,0020,0027,0041,0036,
77,0014,0020,0027,0042,0036,
78,0019,0027,0029,0048,0043,
79,0027,0035,0035,0060,0060,
80,0029,0039,0039,0063,0060,
81,0033,0044,0045,0066,0063,
82,0044,0052,0048,0074,0076,
83,0044,0054,0048,0074,0076,
84,0044,0062,0049,0076,0079,
85,0044,0062,0049,0076,0079,
86,0043,0057,0049,0075,0079,
87,0038,0049,0048,0074,0079,
88,0018,0026,0030,0054,0045,
89,0018,0025,0026,0042,0038,
90,0018,0025,0023,0040,0032,
91,0011,0012,0014,0016,0010,
92,0011,0012,0014,0016,0010,
93,0011,0012,0009,0015,0010,
94,0010,0007,0004,0012,0005,
95,0010,0007,0004,0012,0005,
96,0010,0007,0004,0011,0005,
97,0009,0010,0003,0009,0005,
98,0009,0010,0003,0009,0005,
99,0009,0010,0004,0009,0005,
100,0010,0009,0011,0011,0005,
101,0010,0009,0011,0011,0005,
102,0010,0009,0011,0012,0005,
103,0012,0016,0010,0021,0016,
104,0012,0016,0010,0021,0016,
105,0012,0016,0022,0033,0025,
106,0015,0027,0023,0035,0035,
107,0019,0027,0034,0057,0042,
108,0040,0050,0059,0095,0085,
109,0052,0073,0069,0159,0112,
110,0053,0084,0070,0159,0114,
111,0053,0084,0070,0154,0112,
112,0053,0084,0063,0121,0087,
113,0053,0084,0062,0113,0083,
114,0042,0044,0062,0098,0074,
115,0025,0027,0041,0063,0037,
116,0019,0022,0040,0057,0037,
117,0019,0022,0036,0053,0037,
118,0019,0022,0033,0044,0031,
119,0019,0022,0031,0043,0031,
120,0019,0022,0031,0043,0031,
121,0012,0008,0021,0027,0017,
122,0012,0008,0021,0024,0017,
123,0009,0008,0021,0024,0017,
124,0013,0009,0019,0015,0010,
125,0013,0009,0019,0015,0010,
126,0013,0009,0019,0015,0010,
127,0009,0004,0019,0015,0006,
128,0009,0004,0019,0015,0006,
129,0009,0004,0019,0015,0006,
130,0009,0003,0017,0016,0007,
131,0009,0003,0017,0016,0007,
132,0008,0003,0017,0016,0007,
133,0011,0008,0022,0022,0014,
134,0012,0008,0022,0023,0014,
135,0012,0008,0028,0034,0018,
136,0018,0020,0030,0036,0031,
137,0028,0030,0048,0059,0042,
138,0047,0051,0106,0111,0075,
139,0056,0091,0111,0115,0076,
140,0056,0091,0111,0127,0091,
141,0056,0091,0107,0127,0091,
142,0056,0091,0088,0101,0069,
143,0046,0057,0075,0093,0068,
144,0037,0044,0066,0081,0067,
145,0024,0023,0044,0058,0030,
146,0012,0008,0044,0058,0030,
147,0012,0008,0034,0034,0019,
148,0012,0008,0032,0034,0019,
149,0012,0008,0032,0034,0019,
150,0012,0008,0027,0025,0011,
151,0010,0008,0023,0024,0011,
152,0010,0008,0023,0024,0011,
153,0006,0000,0018,0014,0001,
154,0006,0000,0018,0014,0001,
155,0006,0000,0018,0014,0001,
156,0008,0000,0015,0010,0000,
157,0008,0000,0015,0008,-001,
158,0008,0000,0015,0008,-001,
159,0005,0002,0010,0012,-001,
160,0006,0002,0011,0012,-001,
161,0006,0002,0011,0012,-001,
162,0012,0004,0019,0015,0003,
163,0012,0004,0019,0015,0003,
164,0012,0004,0019,0015,0003,
165,0019,0017,0040,0048,0030,
166,0020,0019,0046,0055,0042,
167,0024,0029,0086,0088,0045,
168,0056,0052,0096,0109,0081,
169,0084,0063,0096,0109,0081,
170,0084,0063,0091,0109,0081,
171,0084,0063,0088,0100,0074,
172,0084,0063,0070,0082,0066,
173,0040,0038,0056,0062,0059,
174,0038,0035,0053,0061,0043,
175,0025,0018,0037,0043,0024,
176,0020,0018,0035,0040,0024,
177,0014,0011,0022,0029,0015,
178,0014,0005,0022,0024,0015,
179,0013,0005,0022,0024,0015,
180,0004,0003,0014,0016,0006,
181,0004,0003,0014,0016,0006,
182,0004,0003,0014,0016,0006,
183,0010,0004,0014,0008,0000,
184,0010,0004,0014,0008,0000,
185,0011,0004,0012,0008,0000,
186,0008,0004,0012,0013,0000,
187,0008,0004,0012,0013,0000,
188,0008,0004,0013,0013,0000,
189,0011,0006,0020,0013,0002,
190,0011,0006,0020,0013,0002,
191,0012,0006,0020,0013,0002,
