delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
-001,0000,-001,0001,0000,0001,0001,0000,-001
-001,0000,-001,0001,0001,0002,0001,0000,-001
-001,0000,-001,0000,0001,0002,0001,-001,-001
-001,0000,-001,0000,0001,0003,0001,0000,-001
-001,0001,-001,0001,0001,0003,0001,0001,-001
0000,0001,-002,0002,-001,0003,0000,0001,0000
0000,-001,-002,0001,-001,0002,0001,0001,0000
-003,-001,0001,0001,0001,0002,0000,-002,0001
-003,-001,0003,0001,0001,0002,0001,-002,0001
-003,0000,0003,0001,0001,0006,0000,-001,0001
-002,0001,0006,0001,0001,0007,0001,0002,0002
-001,0000,0011,0001,0002,0013,0001,0002,0007
-001,0001,0014,0001,0002,0014,0001,0001,0010
0000,0004,0015,0001,0005,0017,0001,0001,0010
-002,0008,0014,0001,0009,0021,0001,0005,0010
0000,0013,0014,0002,0014,0021,0001,0006,0010
0000,0020,0011,0003,0021,0014,0002,0009,0009
0002,0023,0005,0004,0023,0011,0004,0011,0004
0006,0026,0004,0007,0026,0008,0004,0013,0004
0006,0026,0002,0009,0028,0006,0003,0013,0006
0006,0026,0002,0009,0029,0006,0003,0013,0006
0006,0023,0002,0009,0029,0006,0003,0013,0006
0006,0020,0002,0009,0029,0006,0003,0013,0006
0006,0020,0002,0009,0027,0006,0003,0013,0006
0006,0020,0002,0009,0024,0006,0003,0013,0006
0014,0015,0002,0015,0017,0006,0007,0013,0004
0017,0009,0002,0017,0014,0004,0010,0011,0003
0017,0009,0002,0017,0013,0004,0010,0011,0003
0017,0009,0002,0017,0012,0004,0010,0011,0003
0017,0009,0002,0017,0011,0004,0010,0011,0003
0017,0009,0002,0017,0011,0004,0010,0011,0003
0017,0009,0002,0017,0010,0004,0010,0011,0003
0016,0005,0002,0017,0007,0004,0010,0005,0002
0012,0005,0002,0017,0006,0004,0013,0005,0002
0009,0003,0002,0017,0006,0004,0013,0005,0002
0007,0003,0002,0016,0005,0004,0012,0005,0004
0006,0001,0002,0014,0005,0004,0011,0003,0003
0005,0001,0001,0014,0004,0004,0011,0002,0004
0005,0002,0001,0011,0004,0004,0011,0002,0003
0006,0002,0001,0011,0004,0004,0011,0002,0002
0006,0002,0001,0009,0004,0005,0011,0002,0002
0004,0002,0001,0007,0004,0005,0009,0003,0000
0004,0002,0001,0006,0004,0004,0009,0003,0000
0003,0002,0000,0006,0004,0004,0009,0003,0000
0003,0002,0001,0006,0002,0004,0008,0003,0001
0002,0001,0000,0006,0003,0004,0007,0003,0001
0002,0000,0001,0004,0002,0004,0006,0001,0001
0002,0000,0000,0002,0001,0004,0006,0001,-001
0001,0000,0000,0002,0001,0001,0004,0000,-001
0000,0000,0000,0002,0001,0001,0002,0000,0000
0000,-001,0000,0001,0001,0000,0002,0000,0002
0000,-001,-001,0001,0001,0000,0001,-001,0002
0000,-001,-001,0001,0001,0000,0002,-001,0002
0000,0000,-001,0002,0001,0000,0002,-001,0000
-001,0000,0000,0002,0001,0000,0003,-001,-001
