delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0001,0001,0000,0002,0001,0000,0002,0002,0003
0001,0001,0000,0002,0001,0000,0002,0001,0003
0000,0000,0002,0001,0000,0000,0001,0000,0002
-003,-001,0002,0001,0001,0000,0001,0000,0002
-003,-001,0002,0000,0000,0002,0001,0000,0000
0000,-001,0000,0000,0001,0002,0001,0000,0001
0001,0000,0003,0002,0000,0002,0002,0001,0001
0001,0001,0000,0004,0001,0002,0003,0001,0001
0004,0001,0000,0005,0003,0002,0004,0001,0002
0005,0002,0000,0008,0004,0005,0009,0002,0001
0006,0002,0000,0012,0008,0005,0014,0003,0004
0009,0002,0001,0018,0009,0004,0014,0005,0001
0014,0005,0001,0018,0010,0004,0012,0009,0001
0014,0012,0001,0016,0017,0004,0008,0015,0001
0004,0020,0001,0010,0022,0004,0006,0015,0002
0000,0020,0004,0002,0022,0007,0001,0015,0008
0000,0014,0012,0001,0021,0017,0000,0010,0016
0000,0005,0018,0001,0006,0025,-001,0009,0027
0000,0002,0018,-001,0002,0027,-001,0001,0027
0000,0002,0018,-001,0002,0027,-001,0001,0022
0000,0002,0018,-001,0002,0026,-001,0001,0022
0000,0002,0018,-001,0002,0020,-001,0001,0022
0000,0002,0018,-001,0002,0019,-001,0001,0022
0000,0001,0002,0000,0002,0007,-001,0001,0005
0000,0001,-004,0002,-001,0001,0000,0001,0005
0000,0001,-004,0002,-001,0001,0000,0000,0001
0000,0000,-001,0001,-001,0001,0000,0000,0001
0000,0000,0000,0000,0000,0001,0000,0000,0002
0000,-001,0000,0000,0001,0001,0000,0000,0002
0000,-001,0000,0000,0001,0002,0000,0000,0002
0000,-001,0000,0001,0001,0002,-001,-002,0000
-001,-001,0000,0000,0001,0002,0000,0000,0002
-001,-001,0001,0000,0000,0002,0000,-001,0003
-001,-001,0001,-001,0000,0000,0000,0000,0003
0000,-001,0001,0000,0000,0001,0000,0000,0003
0000,0001,0000,0000,0000,0001,-001,0000,0003
-001,-001,0000,0001,0000,0001,0000,0000,0001
-001,0001,0000,0002,0001,0002,0000,0000,0001
-001,-001,0001,0002,0000,0004,0000,0001,0003
-001,0001,0001,0001,0000,0005,0000,0001,0004
-001,-001,0001,0001,0000,0006,0000,0001,0004
-001,0000,0001,0001,0002,0006,0000,0001,0005
-001,0000,0000,0002,0002,0005,-001,0002,0006
-001,0001,0000,0003,0002,0003,-001,0002,0006
0000,0001,-003,0002,0002,0003,0001,0004,0003
0000,0001,-003,0000,0002,0002,0003,0004,0002
0000,0000,-002,0000,0003,0000,0003,0001,0002
0000,-001,-002,0000,0002,0000,0003,0001,-001
-001,-001,-001,0001,0002,0003,0003,0000,0000
0000,-001,0000,0001,0001,0003,0001,0000,0000
0000,0000,0000,0001,0001,0001,0000,0000,0000
0000,0000,-001,-001,0001,0001,0000,0000,-001
-001,-001,-001,-001,0000,0001,0000,-001,-001
-002,-001,0000,0000,0000,0000,0000,-001,0000
-001,-001,0000,0000,0001,0000,0000,-001,0000
