delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0000,0001,0002,-001,0000,-001,-001,0000,0001
0000,0002,0002,-001,0000,-001,-002,0000,0000
-001,0002,0002,-001,-001,0001,-003,0001,0000
0001,0002,0003,-001,0000,0001,-002,0001,0000
0000,0001,0003,-001,0000,0003,-002,0002,-001
0000,0001,0001,0000,0000,-001,-002,0002,0001
0000,0001,0000,0000,0001,0003,0000,0002,0001
0003,0001,0000,0001,0000,0002,-002,0001,0001
0003,0002,0000,0001,0001,0002,0000,0001,0000
0001,0002,0002,0001,0001,0002,0001,0005,0000
0001,0001,0002,0001,0002,0002,0002,0005,0001
0001,0000,0003,0001,0003,0004,0003,0007,0004
0004,0001,0003,0003,0006,0006,0003,0012,0005
0002,0003,0003,0004,0010,0006,0004,0015,0007
0003,0004,0003,0004,0016,0006,0004,0021,0007
0003,0009,0003,0006,0021,0008,0004,0021,0008
0004,0013,0005,0006,0028,0008,0002,0020,0008
0004,0016,0006,0006,0034,0010,0001,0012,0008
0004,0016,0006,0006,0034,0010,0001,0012,0008
0004,0016,0006,0006,0034,0010,0001,0012,0008
0004,0016,0006,0006,0033,0010,0001,0012,0008
0004,0016,0006,0006,0031,0010,0001,0012,0008
0004,0016,0006,0006,0029,0010,0001,0012,0008
0004,0031,0009,0003,0023,0010,0001,0002,0006
0004,0031,0009,0003,0013,0003,-003,0001,0002
0004,0033,0009,0003,0013,0003,-003,0001,0002
0004,0033,0009,0003,0008,0003,-003,0001,0002
0004,0029,0009,0003,0008,0003,-003,0001,0002
0004,0028,0009,0003,0006,0003,-003,0001,0002
0004,0024,0009,0003,0005,0003,-003,0001,0002
0004,0024,0009,0003,0005,0003,-003,0001,0002
0006,0015,0009,0003,0005,0003,-001,0001,0000
0006,0009,0004,0003,0003,0003,0001,-001,-001
0006,0007,0004,0003,0003,0003,0001,-001,-001
0006,0007,0004,0003,0003,0003,0001,-001,-001
0006,0005,0004,0003,0003,0003,0001,-001,-001
0006,0005,0004,0003,0003,0003,0001,-001,-001
0006,0004,0004,0003,0003,0003,0001,-001,-001
0002,0002,0002,0000,0002,0003,-001,0000,-001
0002,0002,0002,0000,0000,0002,-001,0000,-001
0002,0002,0002,0001,0000,0001,-001,0000,-001
0003,0001,0002,0001,0000,0002,-001,-001,-001
0002,0000,0002,0001,0000,0002,0000,-001,-001
0003,0000,0002,0001,0000,0002,-001,-001,-001
0002,0001,0002,0001,0001,0002,0000,0000,-001
0003,0001,0002,0001,0001,0002,0000,0000,-001
0002,0000,0002,0001,0001,0001,0000,0000,-001
0002,-001,0002,0001,0001,0001,-001,-001,0000
0002,0000,0002,0000,0001,0001,-001,-001,-001
0000,0000,0003,0001,0001,0001,-001,-001,0000
0001,0000,0003,0000,-001,0001,-001,-002,-001
0000,-001,0002,-001,-001,0004,-001,-001,-004
0000,-001,0002,-002,0000,0002,-002,-001,-004
0000,-001,0002,-002,0000,0002,-002,-001,-001
0000,0000,0002,0000,-001,0001,-002,-001,-001
