delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
-001,-001,0000,0001,-001,0001,-001,-001,0001
0000,-001,0002,0000,-001,0001,-001,-001,0001
-001,-001,-001,-001,0002,0000,-002,-001,0001
-001,-001,0000,-001,0002,0000,-002,0002,0001
-001,0000,0000,-001,0000,0000,-002,0002,0001
-001,0000,0001,0000,0000,0002,-001,0003,0001
0001,0001,0001,0000,0002,0002,0000,0001,0001
-002,0000,0002,0001,0002,0002,0000,0004,0003
0002,0001,0003,0001,0004,0003,0000,0004,0003
0001,0002,0003,0002,0004,0003,0001,0004,0003
0002,0005,0004,0003,0006,0007,0002,0006,0004
0003,0012,0004,0003,0009,0007,0002,0007,0006
0003,0015,0005,0002,0014,0008,0000,0007,0006
0002,0019,0006,0002,0019,0008,0000,0010,0009
0002,0024,0006,0003,0022,0009,0000,0012,0007
0002,0024,0006,0003,0022,0009,0000,0013,0007
0003,0024,0006,0003,0022,0009,-001,0013,0007
0003,0023,0004,0003,0021,0008,0000,0013,0007
0003,0023,0004,0002,0019,0008,0002,0011,0008
0003,0020,0004,0002,0018,0008,0002,0009,0004
0002,0017,0003,0002,0016,0007,0002,0008,0006
0002,0008,0003,0003,0013,0004,0001,0007,0005
0002,0005,0003,0002,0006,0004,0001,0006,0005
0002,0005,0002,0002,0004,0004,0000,0003,0003
0000,0000,0000,0001,0003,0004,0002,0003,0002
0000,0000,0000,0001,0003,0004,0000,0002,0003
0000,0001,0000,0001,0003,0004,0002,0002,0003
0000,0001,0000,-001,0002,0002,0000,0002,0003
-001,0000,0000,0001,0002,0004,0002,0002,0003
-001,0000,0000,-001,0002,0001,0001,0000,0002
0000,0000,0001,0000,0002,0001,0001,0000,0002
0000,0000,0000,-001,0001,0001,-001,0000,0001
0000,0000,0000,-001,0001,0000,-003,0001,0000
0000,0000,0000,-001,0001,0002,-003,0002,0001
0000,0000,0000,-001,0001,0002,-001,0002,0003
0000,-001,-001,-001,0000,0002,-001,0001,0003
0000,-001,0003,0001,0001,0001,-001,0001,0001
0000,-001,0002,0000,0001,0000,0000,0000,0001
-001,-001,0002,0000,0001,0000,0000,0001,0002
-001,0000,0002,0000,0000,0001,-001,0001,0002
-001,-001,0000,0000,0000,0002,-001,0001,0002
0000,-001,0000,0000,0001,0002,-002,0001,0001
0000,-001,0000,0001,0001,0002,-002,0001,0001
0000,-001,0001,0001,0001,-001,-002,0001,0001
-001,-001,0001,0001,0001,-001,-001,0001,0001
0000,0000,0000,0002,0001,-002,-001,0001,0000
0000,0000,0000,0000,0001,0000,-001,0001,0000
0000,0000,-001,0001,0001,-001,-001,0001,0000
0000,0000,-001,0000,0001,0000,-001,0001,-001
-001,-001,-001,0001,0001,-001,-002,0002,-001
-002,0000,-001,0000,0001,0000,0000,0002,-001
-002,-001,0000,0000,0001,0000,0000,0002,0000
-002,0000,0000,0000,0001,0000,0000,0001,0000
0000,-001,0000,0000,0000,0002,-001,0000,0001
0000,-001,0001,0000,-001,0002,-001,0000,0001
