delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0002,-001,0002,-001,-001,0001,-002,0001,0002
0000,-002,0000,-001,0000,0001,-002,0001,0000
0001,-002,0000,-001,0000,0001,-002,0000,0000
0001,-002,0000,-002,0000,0001,-002,0000,0004
0001,-001,0002,-002,0000,0005,0000,0000,0005
0002,-001,0002,-001,0000,0005,0000,0000,0007
0001,-001,0002,-001,0001,0007,0000,0001,0008
0002,-001,0002,-002,0002,0008,0000,0001,0010
0001,-002,0005,-002,0001,0009,0000,0001,0012
0002,-001,0006,-002,0002,0015,0000,0004,0016
0001,0002,0008,-002,0002,0015,0000,0006,0017
0001,0002,0010,0000,0003,0017,0000,0007,0016
0001,0003,0011,0000,0009,0014,0000,0010,0015
0001,0009,0010,0000,0013,0013,0000,0013,0013
0002,0010,0008,0001,0023,0012,0000,0018,0007
0003,0017,0007,0004,0031,0009,0002,0024,0005
0004,0021,0004,0006,0032,0005,0006,0024,-001
0004,0021,0004,0006,0032,0005,0006,0024,-001
0004,0021,0004,0006,0032,0005,0006,0024,-001
0004,0021,0004,0006,0033,0005,0006,0024,-001
0004,0021,0004,0006,0031,0005,0006,0024,-001
0004,0021,0004,0006,0031,0005,0006,0024,-001
0010,0019,0004,0015,0029,0004,0012,0019,0000
0020,0012,0004,0026,0020,0002,0016,0011,0001
0028,0007,0004,0030,0011,0002,0020,0008,0001
0028,0007,0004,0031,0011,0002,0020,0008,0001
0027,0007,0004,0030,0011,0002,0020,0008,0001
0026,0007,0004,0029,0008,0002,0020,0008,0001
0025,0007,0004,0029,0007,0002,0020,0008,0001
0025,0007,0004,0029,0008,0002,0020,0008,0001
0025,0007,0004,0029,0009,0002,0020,0008,0001
0025,0007,0004,0029,0009,0002,0020,0008,0001
0019,0004,0000,0026,0008,0002,0023,0004,0004
0018,0004,0000,0026,0008,0002,0023,0004,0004
0016,0004,0001,0021,0007,0005,0017,0004,0002
0013,0003,0002,0016,0007,0006,0014,0003,0002
0010,0001,0002,0011,0007,0008,0008,0003,0000
0010,0001,0002,0008,0007,0008,0008,0003,0000
0010,0001,0002,0008,0007,0008,0008,0003,0000
0010,0001,0002,0008,0007,0008,0008,0003,0000
0010,0001,0002,0007,0007,0008,0008,0003,0000
0010,0001,0002,0006,0007,0008,0008,0003,0000
0008,0001,0002,0005,0003,0006,0004,0003,0000
0007,0001,0002,0004,0003,0006,0004,0004,0002
0006,0001,0001,0004,0003,0004,0004,0003,-001
0005,0000,0001,0002,0003,0004,0002,0002,-001
0003,0000,0001,0001,0000,0002,0002,0002,-001
0003,0000,-001,0001,0000,0001,0002,0001,-001
0002,0000,-001,0000,0002,0001,0001,0001,0000
0002,0000,-001,0000,0002,0001,0000,0001,0000
0002,-002,0000,0000,0001,0001,-001,0001,-001
0002,-001,0001,0000,0001,0001,-001,0001,-001
0002,-001,0002,-001,0001,-001,0001,0001,-002
0002,-001,0002,-001,0000,-001,0001,0001,-003
0002,-003,0002,-002,0000,-001,0001,0001,-003
