delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0002,0002,-001,-001,0000,0001,0000,0002,0000
0002,0002,-001,0000,0000,0001,0000,0000,0000
0003,0002,-001,0000,0000,0000,-001,0000,0000
0003,0002,-001,0001,0000,0000,-001,0001,0000
0002,0002,-001,0000,0001,-001,0001,0001,0000
0002,0002,0001,0001,0001,0001,0002,0002,-001
0002,0002,0002,0001,0001,0002,0002,0003,-001
0004,0002,0002,0001,0002,0003,0002,0003,0000
0005,0002,0003,0002,0002,0003,0004,0002,0001
0007,0002,0001,0002,0002,0003,0006,0002,0001
0010,0002,0001,0006,0003,0005,0007,0004,0002
0011,0004,0001,0009,0004,0005,0010,0005,0004
0014,0004,0001,0015,0005,0005,0013,0005,0004
0016,0008,0001,0018,0006,0005,0013,0005,0002
0019,0009,0002,0021,0009,0002,0012,0006,0001
0019,0009,0002,0021,0014,0002,0012,0008,0002
0013,0015,0002,0012,0021,0002,0007,0016,0003
0007,0019,0003,0006,0029,0004,0004,0018,0003
0003,0029,0003,0000,0041,0007,0000,0019,0002
0003,0029,0003,0000,0041,0007,0000,0019,0002
0003,0023,0003,0000,0037,0007,0000,0019,0002
0003,0018,0003,0000,0028,0007,0000,0019,0002
0003,0018,0003,0000,0022,0007,0000,0019,0002
0003,0018,0003,0000,0018,0007,0000,0019,0002
0003,0005,0014,0001,0010,0017,0000,0008,0012
0002,0005,0029,0001,0005,0037,0000,0007,0019
0002,0002,0029,-001,0003,0053,0000,0001,0027
0002,0002,0018,-001,0003,0053,0000,0001,0027
0002,0002,0011,-001,0003,0041,0000,0001,0027
0002,0002,0011,-001,0003,0023,0000,0001,0027
0002,0002,0011,-001,0003,0023,0000,0001,0024
0002,0002,0011,-001,0003,0023,0000,0001,0020
0001,0002,0005,-001,0002,0011,0000,0003,0017
0001,0001,0004,0000,0002,0005,0002,0003,0016
0001,0001,0001,0000,0002,0001,-001,0003,0006
0001,0001,0001,0001,0002,0005,-001,0002,0006
0001,0000,0000,0001,0002,0003,-001,0001,0002
0001,0000,0000,0001,0001,0003,0000,0001,0001
0001,0000,0000,0000,0001,0003,0000,0001,0000
0003,0001,0001,-001,0001,0002,0000,0001,0000
0004,0000,0001,-001,0001,0002,0001,0001,0000
0004,0000,0001,-001,0001,0003,0001,0001,0002
0002,0000,0000,-001,0002,0003,0001,0002,0002
0002,0000,0000,-001,0002,0001,0001,0001,0002
0002,0001,0000,-001,0001,0001,-001,0002,0002
0002,0002,0000,-001,0000,-001,-001,0001,0001
0000,0002,0000,-001,0000,0000,-001,0001,0000
0000,-001,0000,-001,0000,0000,-001,0000,0000
0000,-001,-001,-001,0000,0000,0000,0000,0000
0001,0001,0000,0000,0001,0003,0002,0002,0002
0002,0001,-001,0000,0001,0001,0000,0002,0002
0002,0000,0000,0000,0001,0001,0001,0002,0002
0002,0000,0001,0001,0001,0001,0000,0001,0001
0002,0001,0001,0001,0001,0001,0000,0001,0002
0001,0001,0001,0000,0001,0003,0000,0000,0001
