delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0001,-001,0000,0001,0001,0001,0001,-001,-001
0001,-001,0000,0000,0001,0001,0001,0000,0000
0001,0000,0000,0000,0001,0000,0001,-001,0000
0001,0002,0000,0001,0001,0000,0001,-001,0000
0001,0002,0000,0001,0000,0000,-001,-001,0000
0001,0002,0000,0001,0000,0001,-001,-001,0000
0002,0000,-001,0001,0000,0001,0000,-001,0000
0002,0000,-001,0002,0002,0001,0000,-001,-001
0000,0000,0001,0003,0000,0002,0000,-001,0000
0000,0000,0001,0003,0003,0002,0000,0002,0001
0000,0000,0001,0002,0003,0002,0001,0002,0002
0001,0000,0000,0002,0003,0001,0002,0003,0004
0001,0000,0000,0003,0004,0002,0002,0007,0004
0003,0002,0000,0005,0005,0003,0002,0015,0008
0005,0002,0001,0005,0008,0004,0008,0024,0008
0005,0004,0003,0007,0017,0007,0009,0024,0009
0005,0009,0003,0008,0027,0009,0008,0021,0009
0005,0009,0002,0013,0034,0011,0007,0017,0009
0005,0009,0002,0013,0035,0011,0007,0017,0009
0005,0009,0002,0013,0035,0011,0007,0017,0009
0005,0009,0002,0013,0034,0011,0007,0017,0009
0005,0009,0002,0013,0033,0011,0007,0017,0009
0005,0009,0002,0013,0032,0011,0007,0017,0009
0009,0027,0009,0008,0028,0011,0002,0010,0006
0010,0027,0014,0005,0022,0009,0002,0007,0006
0010,0023,0014,0005,0022,0009,0002,0007,0006
0010,0023,0014,0005,0022,0009,0002,0007,0006
0007,0023,0009,0003,0018,0009,0001,0003,0003
0003,0014,0003,0003,0009,0009,0001,0002,0002
0003,0014,0003,0003,0009,0009,0001,0002,0002
0003,0014,0003,0003,0008,0009,0001,0002,0002
0003,0014,0003,0003,0007,0009,0001,0002,0002
0003,0014,0003,0003,0006,0009,0001,0002,0002
0003,0014,0003,0003,0004,0009,0001,0002,0002
0002,0008,0006,0003,0004,0006,0000,0002,0000
0002,0003,0006,0003,0003,0003,0000,0000,-001
0001,0003,0006,0000,0002,0002,0000,-001,0000
0001,0002,0003,0000,0001,0002,0000,0000,-002
0001,0001,0001,0000,0001,0002,0000,-001,0000
0002,0001,0000,0001,0002,0002,0000,0000,0000
0002,0000,0000,0001,0002,0001,-001,0000,0000
0001,0000,0000,0000,0001,0001,-001,0000,-001
0001,0002,0000,0000,0001,0001,0000,0000,-001
0001,0002,0000,0000,0001,0002,0001,0001,-001
0001,0000,0000,0000,0001,0002,0000,0001,-001
0001,-001,0000,0000,0001,0000,0000,-001,0000
0001,0000,0000,0000,0001,0000,-001,-001,0000
0001,0001,0001,0001,0001,0002,0000,-001,0000
0002,0001,0001,0000,0000,0002,0000,-001,-002
0002,-001,0001,0001,0000,0002,0000,-001,-003
0000,-001,0001,0001,0000,0000,-001,-001,-003
0000,-002,0003,0001,0000,-001,-001,-001,-001
0000,0000,0003,0001,0001,-001,-001,-001,-001
0001,0000,0001,0001,0002,-002,-001,-001,0000
0001,0000,0000,0000,0001,0000,-001,-001,-002
