delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0000,0000,0001,0002,0000,0000,0001,0000,0000
0000,0000,0001,0002,0000,0000,0001,0001,0002
0001,0000,0001,0002,0000,0000,0002,0002,0002
0001,0000,0001,0001,0000,0000,0001,0002,0002
0001,0001,0001,0001,0000,0000,0000,0002,0001
0001,0000,0001,0000,0000,0000,0000,0001,0001
0001,0000,0000,0000,0000,0000,0001,0002,0002
0001,0000,0000,0002,0001,0000,0001,0003,0002
0001,0001,0000,0002,0001,-001,0000,0003,0002
0000,0001,0000,0003,0001,-001,0000,0004,0002
0002,0001,0001,0003,0004,0000,0001,0004,0003
0002,0004,0003,0003,0008,0002,0001,0008,0003
0003,0013,0004,0003,0012,0004,0001,0010,0007
0003,0017,0003,0004,0018,0005,0002,0014,0007
0003,0021,0005,0004,0022,0005,0002,0014,0008
0003,0021,0004,0003,0022,0006,0002,0015,0008
0003,0021,0005,0003,0022,0006,0000,0015,0008
0004,0017,0006,0004,0019,0006,0000,0012,0008
0004,0017,0006,0004,0016,0006,0000,0012,0007
0003,0016,0005,0004,0016,0005,0001,0009,0006
0001,0011,0005,0003,0013,0005,0003,0008,0005
0001,0010,0005,0003,0009,0005,0003,0007,0004
0001,0008,0003,0002,0005,0003,0003,0006,0003
0002,0006,0003,0001,0004,0002,0002,0003,0003
0001,0002,0003,0001,0002,0002,0002,0003,0002
-001,0001,0000,0001,0001,0002,0001,0002,0001
-001,0000,0000,0001,0001,0002,0001,0003,0001
0001,0000,0001,0000,0000,0002,0001,0003,-001
0001,0000,0002,0003,0000,0002,0000,0003,0000
0001,-001,0002,0000,0000,0000,0000,0001,0000
0000,-001,0002,0002,0000,0000,0001,0001,0000
0001,-001,0002,0001,0000,0000,0001,0002,-002
-001,0001,0001,0002,0000,0000,0002,0002,-002
0000,0001,0000,0002,0000,-003,0001,0001,-002
0000,-001,0000,0002,-001,-003,0000,0001,0000
0000,-001,0000,0002,-001,-002,0000,0001,0000
0000,-001,0000,0001,-001,0000,0000,0001,0000
0000,-001,0000,0001,0000,0000,0000,0003,0002
0000,-002,0000,0001,0000,0000,0000,0003,0002
0000,-001,0001,0000,-001,-001,-002,0003,0002
0001,-001,0001,0000,-001,-001,0000,0002,0000
0001,-001,0001,0000,0000,-001,-002,0001,0000
0001,0000,0000,0000,0000,0000,0000,0001,0001
-001,0000,0000,0001,0000,0001,0000,0002,0001
-001,0001,0000,0001,0000,0001,0001,0003,0001
0000,0000,0000,0001,-001,0001,0001,0003,0001
0001,-001,0001,0001,-001,0000,0001,0003,0001
0001,-001,0001,0001,-001,0000,0001,0001,0001
0001,-001,0001,0001,0000,-002,0001,0001,0000
0001,0000,0000,0001,0000,-002,0001,0001,0000
0000,0000,0000,0000,0000,-001,0000,0000,0000
0000,0000,0000,0000,0000,0001,-002,0000,0000
0000,0000,0000,0000,0000,0001,-002,0000,0000
0000,0000,0000,0000,0001,0001,-002,0000,0000
0000,0000,0000,0000,0001,0001,-001,0001,0001
