delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0000,0000,0001,-003,-002,0001,-001,0002,0002
0001,0000,0001,-001,-002,0001,-001,0001,0004
0001,-002,0001,0000,-001,0001,-001,0001,0005
0000,-002,0001,-001,0001,0001,-001,0001,0005
0000,0000,0003,-001,0001,0004,-001,0002,0009
0000,0001,0004,-001,0001,0005,-002,0002,0011
0001,0001,0004,-002,0001,0008,-002,0002,0014
0000,0000,0004,0000,0003,0011,-002,0002,0015
0001,-001,0007,-002,0003,0016,0000,0002,0015
0001,-001,0008,0000,0003,0018,0001,0003,0017
0001,0002,0008,-002,0003,0018,0000,0005,0018
0001,0003,0008,0000,0006,0014,-002,0007,0018
0002,0006,0007,0000,0008,0012,-002,0011,0014
0003,0008,0007,0000,0014,0012,-002,0012,0007
0003,0011,0004,0000,0021,0007,-001,0019,0004
0003,0012,0004,0001,0026,0007,0002,0022,0002
0004,0015,0006,0004,0027,0008,0005,0022,0002
0004,0015,0006,0004,0027,0008,0005,0022,0002
0004,0015,0006,0004,0030,0008,0005,0022,0002
0004,0015,0006,0004,0030,0008,0005,0022,0002
0004,0015,0006,0004,0026,0008,0005,0022,0002
0004,0015,0006,0004,0025,0008,0005,0022,0002
0013,0011,0002,0017,0023,0004,0012,0014,0002
0016,0006,0002,0021,0014,0002,0018,0009,0001
0019,0006,0002,0023,0010,0002,0023,0008,0001
0019,0006,0002,0023,0009,0002,0023,0008,0001
0019,0006,0002,0023,0008,0002,0023,0008,0001
0019,0006,0002,0023,0008,0002,0023,0008,0001
0019,0006,0002,0023,0008,0002,0023,0008,0001
0019,0006,0002,0023,0007,0002,0023,0008,0001
0017,0003,0000,0021,0006,0004,0023,0005,0001
0013,0003,0000,0016,0005,0004,0018,0003,0001
0012,0003,0000,0015,0005,0004,0016,0003,-001
0009,0002,0000,0012,0003,0004,0011,0003,0001
0007,0002,0003,0007,0003,0005,0009,0001,0002
0005,0002,0002,0005,0002,0005,0005,0001,0003
0005,0001,0002,0002,0001,0003,0005,0001,0003
0004,0001,0001,0002,0001,0002,0004,0001,0000
0003,0001,0000,0002,0001,0003,0003,0001,-001
0002,0001,0000,0001,0000,0002,0002,0001,0000
0003,0001,0000,-001,-001,0001,0001,0002,-001
0003,0000,0002,-001,-001,0000,0001,0001,-001
0003,-001,0002,-001,0001,0000,0001,0001,-001
0002,-001,0001,-001,0001,-001,0001,0001,-002
0002,0001,0001,0000,0001,-001,0001,0001,-002
0002,0001,0001,0000,-001,-001,0000,0001,0000
0002,-001,0001,0000,-001,0000,-001,0000,0000
0001,-002,-001,0000,-001,0001,-001,0001,-001
0001,-002,-001,-001,-001,0001,0001,-001,-001
0001,0000,-001,-001,0000,-001,0001,0001,-001
0001,0000,0000,-001,0000,-001,0000,0001,-001
0001,0000,0000,-001,0000,0000,-001,0001,-002
0001,-003,0000,-001,0001,0001,-001,0001,-002
0001,-001,0000,-001,0000,0000,0000,0000,-001
0002,-001,0001,-002,0000,0000,0000,0000,-001
