delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0003,0002,0002,0004,0002,0004,0004,0001,0002
0003,0001,0002,0004,0002,0004,0003,0000,0002
0003,0001,0001,0004,0002,0003,0003,0000,0002
0002,0000,0001,0004,0002,0003,0001,0000,0000
0002,0000,0001,0004,0002,0003,0000,0000,0000
0002,0000,0001,0004,0001,0002,0001,0001,0000
0003,0001,0001,0005,0001,0002,0002,0001,0000
0003,0001,0001,0005,0001,0002,0004,0001,0001
0005,0004,0002,0005,0001,0002,0004,0001,0001
0005,0003,0003,0005,0003,0002,0005,0001,0003
0005,0003,0002,0005,0003,0005,0005,0002,0003
0006,0003,0003,0007,0003,0005,0005,0003,0003
0011,0003,0001,0009,0003,0004,0012,0003,0003
0012,0006,0002,0015,0004,0004,0012,0003,0001
0012,0006,0002,0020,0004,0004,0017,0004,0003
0019,0006,0002,0023,0006,0003,0017,0005,0003
0021,0006,0002,0023,0006,0003,0015,0007,0003
0021,0007,0002,0023,0012,0001,0013,0008,0001
0018,0016,0003,0018,0019,0001,0010,0012,0001
0007,0020,0004,0011,0023,0003,0008,0014,0001
0005,0022,0005,0005,0024,0006,0004,0014,0002
0005,0022,0010,0003,0024,0006,0002,0013,0004
0002,0017,0010,0003,0020,0011,0001,0012,0008
0002,0009,0013,0003,0010,0013,0000,0012,0008
0002,0005,0015,0003,0005,0016,-001,0008,0008
0001,0004,0015,0001,0002,0016,-001,0003,0010
0001,0002,0011,0001,0001,0016,-001,0002,0011
0001,0001,0009,0001,0001,0014,0000,0001,0010
0001,0002,0009,0000,0000,0014,0000,0001,0009
0001,0003,0007,0000,0001,0010,0000,0001,0009
0001,0003,0006,0001,0001,0009,0001,0001,0006
0001,0001,0005,0001,0001,0008,0001,0001,0006
0001,0001,0005,0001,0001,0008,0001,0001,0006
0001,0001,0005,0000,0001,0007,0001,0001,0005
0002,0002,0005,0000,0000,0007,0001,0001,0005
0002,0001,0005,0000,0000,0006,0000,0002,0005
0001,0001,0005,0000,0000,0006,0000,0003,0007
0001,0001,0005,0001,0000,0006,0000,0002,0007
0000,0000,0004,0001,0000,0005,0000,0003,0005
0001,0000,0004,0001,0000,0005,0001,0002,0005
0001,0000,0003,0000,0000,0005,0001,0002,0005
0001,0002,0001,0000,0000,0005,0001,0001,0005
0001,0002,0001,-001,0000,0002,0001,0001,0005
-001,0002,0002,-001,0000,0002,0001,0001,0007
-001,0001,0003,0001,-001,0003,0001,0001,0008
-001,0001,0003,0002,-001,0003,0001,0001,0008
-001,0001,0003,0002,0000,0003,0001,0001,0007
-001,0000,0003,0001,0000,0001,0001,0001,0005
0001,0000,0003,0000,0000,0003,0001,0000,0006
0001,0000,0003,-001,-001,0001,-001,0001,0004
0001,0001,0003,0000,-001,0002,-001,0000,0003
0001,0001,0003,0000,-001,-001,0002,0000,0002
0000,0001,0001,0000,-001,0002,0002,-001,0003
0000,0000,0001,0001,-001,0001,0000,-001,0003
0000,0000,0001,0001,-002,0001,0000,0000,0003
