delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0000,0001,-001,0002,0001,0000,-001,0001,0000
0001,0003,-001,0002,0001,0001,-001,0001,0000
0001,0003,-001,0001,0001,0001,-001,0001,0000
0001,0003,0000,-001,0001,0001,-001,0001,0000
0002,0002,0000,-001,0001,0001,-001,0002,-002
0002,0002,0000,-001,0001,0001,-002,0002,0001
0002,0002,0000,0001,0001,0001,-002,0004,0002
0003,0003,0000,0002,0002,0003,0000,0006,0004
0003,0003,-001,0003,0006,0003,0000,0006,0006
0002,0004,-001,0003,0006,0003,0001,0010,0006
0001,0005,0002,0004,0008,0003,0003,0010,0008
0001,0006,0002,0004,0012,0004,0003,0011,0008
0001,0006,0003,0005,0013,0005,0006,0011,0006
0004,0009,0007,0007,0015,0005,0006,0009,0006
0005,0012,0007,0007,0020,0005,0002,0009,0006
0005,0016,0006,0006,0020,0004,0002,0004,0001
0007,0017,0005,0005,0015,0003,0002,0004,0001
0007,0017,0005,0004,0007,0002,0002,0002,0001
0007,0012,0003,0004,0005,0001,0002,0002,0001
0007,0010,0001,0004,0004,0001,0001,0002,0001
0006,0007,0001,0004,0004,0002,0001,0001,0001
0006,0004,0001,0004,0004,0002,0000,0001,0001
0006,0004,0000,0003,0003,0002,0000,0001,0002
0006,0003,0002,0004,0003,0000,0000,0001,0003
0006,0003,0000,0001,0003,0004,0000,0001,0003
0003,0002,0002,0003,0002,0003,0003,0001,0002
0004,0002,0002,0001,0002,0003,-001,0000,0001
0003,0002,0002,0001,0002,0000,-001,0000,0002
0002,0002,0002,0001,0002,0000,-001,0001,0002
0002,0002,0001,0002,0001,0002,-001,0001,0002
0003,0001,0001,0002,0002,0002,0000,0001,0000
0003,0001,-002,0002,0002,0002,0000,0000,0000
0001,0001,-002,0000,0002,0001,0000,0001,0000
0001,0001,-002,0002,0001,0001,-002,0000,0000
0002,0001,0000,0001,0001,0001,-002,0000,0000
0002,0001,0001,0001,0001,0001,-002,-001,0000
0001,0002,0001,0001,0000,-001,-001,-002,-001
0000,-001,0001,0000,0000,0000,-002,-001,-002
0000,-001,0001,0000,0000,0000,-001,-001,-002
0000,-001,0000,0000,0002,0001,-002,-001,-001
-001,0001,0000,0002,0002,0001,-001,0000,0000
-002,0001,0000,0002,0001,0001,0000,0000,-001
-002,0001,-001,0000,0001,0001,0000,0000,0001
0001,0001,-001,0000,0001,0001,0000,0001,0001
0001,0001,0001,0000,0001,0001,-001,0001,0001
0002,0000,0001,0001,0001,0000,0000,0001,0001
0002,0001,0001,0001,-001,-002,-002,0000,0001
0002,0000,0001,0001,0001,-002,-002,-001,0000
0002,0000,0000,0000,0001,-003,-002,-001,0000
0002,0000,0000,0000,0001,-003,-002,-001,0000
0002,0001,0000,0000,0001,-002,-002,0000,0000
0002,0001,0001,0000,0001,-002,0000,-001,0001
0000,0001,0001,0000,0000,-002,-001,-001,-001
0000,0000,0001,0000,0001,0000,0000,-001,0000
0000,0000,0001,0000,0000,0000,-001,-001,0000
