delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
-001,0000,-001,-001,0001,0001,0001,0001,0001
-001,0000,-001,0000,0001,0001,0001,0001,0001
-001,0000,-001,0000,0001,0001,0001,0001,0001
0000,-001,-003,0001,0001,-001,0003,0001,0000
0000,-001,-003,0001,0001,-001,0003,0001,0000
0000,-001,-003,0001,0002,-001,0005,0001,0000
-001,0000,0001,0001,0001,-002,0003,0001,0001
-001,0000,0001,0001,0001,0001,0005,0001,0001
-001,0000,0001,0001,0001,0001,0000,0001,0001
-003,0001,0000,0002,0002,0001,0000,0000,0001
0000,0002,0000,0002,0002,0002,0000,0000,0001
0000,0002,0000,0002,0003,0002,0000,0000,0001
0001,0003,0002,0002,0003,0004,0000,0003,0005
0001,0006,0002,0002,0006,0010,0001,0003,0006
0003,0023,0003,0003,0018,0011,0002,0003,0007
0003,0024,0012,0004,0023,0025,0002,0007,0015
0003,0024,0012,0004,0023,0025,0002,0007,0015
0003,0024,0012,0004,0023,0025,0002,0007,0015
0000,0017,0009,0003,0016,0020,0003,0006,0014
0000,0017,0009,0003,0016,0013,0003,0006,0014
0000,0008,0007,0003,0008,0013,0003,0005,0007
0001,0008,0005,0001,0007,0008,0001,0003,0007
0001,0002,0002,0001,0004,0006,0001,0003,0005
0000,0002,0002,0001,0003,0006,0001,0002,0005
0000,0002,0002,0001,0002,0002,0001,0002,0002
0000,0000,0002,0001,0002,0000,0001,0002,0001
0002,0000,0000,0001,0002,0000,0001,0004,0002
0000,0001,-002,0001,0002,0002,0003,0004,0002
0000,0001,-002,0001,0002,0002,0003,0002,0002
0000,0001,-002,0001,0002,0002,0001,-001,0001
0000,0001,-002,0002,0001,0002,0001,-001,0001
0000,0001,-002,0002,0001,0002,-001,-001,0001
0001,0001,-002,0002,0001,0001,0003,0000,0002
0000,0000,0000,0001,0001,0001,0001,0000,0002
0000,0000,0000,0001,0001,0001,0001,0000,0001
0000,0000,0000,0001,0001,0003,0001,0000,0001
-001,-001,-002,0000,0001,0000,0002,0001,0001
-001,-001,-002,0000,0001,0000,0002,0001,0001
-001,-001,-002,0000,0001,0000,0002,0002,0001
0000,-001,-001,0001,0002,0000,0003,0002,0001
0000,0000,-001,0001,0002,0000,0003,0002,0001
0000,0000,-001,0001,0002,0000,0001,0002,0002
-001,0001,-002,0000,0000,-001,-001,0002,0001
-002,0001,-002,0000,0000,0000,0001,0002,0001
-002,-001,-002,0000,0000,0002,0000,0002,0001
0000,-001,-002,0001,0001,0002,0001,0002,0000
0000,-001,-002,0001,0001,0002,0000,0002,0002
0000,0000,-002,0001,0001,0001,0001,0002,0002
-002,0002,-001,0002,0001,-001,0000,0002,0002
-002,0002,-001,0002,0000,-001,-001,0002,0000
-002,-001,-001,0002,0000,-001,-001,0000,0000
-002,-001,-001,0002,0001,-002,-001,0000,0000
-001,0000,-001,0002,0001,0000,0002,0000,0001
-001,0000,-001,0002,0001,0001,0001,0001,0001
-001,0000,-002,0001,0001,0001,0002,0002,0001
