delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0000,0002,0001,0002,0000,0000,0001,0001,0000
0000,0001,-002,0001,0001,0000,0001,0001,0000
0001,0001,-002,0001,0001,0001,0001,0000,0000
0001,0000,0000,0001,0000,0001,0001,0000,0000
0001,0000,0001,0001,0000,0001,0002,0000,0001
0001,0001,0000,0002,-001,0000,0000,0001,0001
0001,0001,0000,0002,0001,0001,0002,0001,0002
0001,0001,0000,0002,0001,0002,0002,0001,0001
-001,0000,0000,0002,0001,0003,0002,0000,0001
0000,0001,0000,0002,0000,0003,0000,-001,0001
0000,0001,0000,0002,0000,0004,0000,-001,0003
0002,0002,0002,0003,0000,0010,0000,0000,0005
0002,0003,0013,0001,0002,0015,0000,0002,0009
0002,0005,0013,0003,0006,0015,0000,0005,0011
0004,0023,0011,0003,0024,0015,0001,0011,0011
0004,0023,0005,0008,0028,0004,0004,0015,0005
0022,0016,0002,0021,0028,0004,0009,0015,0004
0022,0016,0002,0021,0023,0004,0009,0015,0004
0022,0016,0002,0021,0018,0004,0009,0015,0004
0022,0007,0002,0034,0011,0004,0018,0011,0005
0019,0007,0002,0034,0009,0005,0023,0006,0006
0019,0007,0002,0025,0009,0005,0023,0006,0006
0019,0007,0002,0020,0009,0005,0023,0006,0006
0013,0005,0002,0016,0008,0007,0015,0005,0005
0007,0001,0001,0009,0005,0007,0012,0003,0004
0005,0001,0000,0006,0005,0005,0004,0002,0003
0003,0002,0000,0004,0003,0002,0003,0001,0003
0001,0002,0001,0003,0002,0001,0003,0001,0003
0001,0001,0001,0003,0002,0002,0003,0002,0001
0002,0001,0001,0003,0002,0000,0002,0002,0000
0002,0001,-001,0004,0001,0001,0002,0000,0001
0001,0000,-001,0003,0001,0000,0002,0000,0001
0001,0001,-001,0002,0001,0001,0002,0000,0001
0000,0000,0001,0002,0000,-001,0002,0000,0000
0000,0001,0000,0001,0000,0000,0002,0000,-001
0002,0001,0000,0001,0001,0000,0001,0000,-001
0002,0001,0000,0001,0001,0000,0001,0000,0000
0002,0001,0002,0001,0001,0001,0001,0000,0000
0001,0000,0002,0003,0001,0002,0002,0000,0002
0001,0000,0000,0003,0001,0002,0002,0000,0002
0002,0000,0000,0003,0001,0002,0002,0000,0002
0002,0000,0001,0002,0001,0001,0002,-001,0001
0000,0000,0001,0003,0001,0000,0001,-001,0003
0000,0000,0001,0002,0001,0000,0001,-001,0002
0000,0000,0002,0003,0001,0002,0001,0001,0002
0001,0000,0002,0000,0001,0002,0001,0001,0001
0000,0000,0001,0003,0001,0002,0003,0001,0001
0000,0000,-002,0003,0001,0001,0000,0000,0000
0000,0000,-002,0003,0001,0000,0000,0000,0000
0000,0000,-002,0003,0000,0001,0000,0000,0000
0000,0001,-002,0000,0000,0001,0001,0000,-001
0000,0001,-001,0000,0000,0002,0002,-001,-001
0000,0000,-001,0000,0001,0002,0002,0000,-001
0000,-001,-001,0001,0000,0002,0002,0000,0001
-001,-001,0000,0003,0000,0002,0002,0000,0001
