delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
-001,0001,0001,0001,0000,0002,0000,0000,0002
-001,0001,0001,0001,0000,0002,0000,0000,0002
0001,0001,-001,0001,0000,0002,0000,0001,0002
0001,0000,-001,0001,0000,-001,-001,0001,0003
0002,0000,-001,0000,0000,-001,-001,0002,0003
0002,0002,-001,0000,0000,0001,-001,0000,0003
0002,0002,0000,0000,0000,0001,0001,0000,0003
0002,0002,0000,0001,0000,0001,0001,0000,0003
0001,0001,0002,0002,0002,0003,0002,0001,0003
0002,0001,0002,0003,0002,0005,0002,0001,0003
0006,0001,0002,0003,0002,0005,0003,0001,0003
0006,0002,0003,0006,0003,0005,0006,0002,0004
0007,0002,0003,0009,0004,0005,0008,0002,0004
0007,0002,0003,0012,0005,0005,0013,0002,0004
0010,0004,0001,0020,0005,0005,0013,0004,0004
0010,0005,0001,0020,0005,0006,0012,0006,0004
0010,0012,0001,0014,0015,0005,0010,0008,0004
0005,0013,0003,0004,0017,0006,0001,0013,0005
0002,0013,0006,0003,0017,0012,0001,0013,0006
0001,0003,0007,0003,0005,0012,0001,0006,0008
0001,0002,0007,0001,0004,0012,0001,0004,0011
0001,0000,0005,0001,0003,0009,0001,0003,0011
0001,0000,0004,0001,0000,0004,0000,0002,0008
0001,0000,0002,0001,0001,0004,0000,0000,0008
-002,0001,0002,0000,0000,0000,0000,0002,0005
-002,0000,0002,0000,0000,0000,0000,0002,0005
0000,0001,0002,0000,-001,0000,0000,0002,0004
0001,0000,0000,-001,0000,0000,-001,-001,0004
0002,0001,0003,0000,0000,0001,-001,-001,0003
0002,0000,0001,-001,0000,0000,-001,0001,0003
0002,0000,0001,0001,0001,0002,-001,0001,0003
0000,0000,0000,0001,-001,0002,-001,0001,0005
0000,0001,0000,0002,-001,0004,0001,0001,0004
0000,0002,0001,0001,-001,0004,-001,0001,0004
0000,0002,0002,0001,0002,0002,-001,0002,0004
0000,-001,0002,0000,0002,0002,-001,0002,0004
0000,-001,0002,0000,0002,0002,-001,0002,0004
0001,0001,-001,0000,0000,0002,0000,0002,0004
0001,0001,-001,0000,-001,0003,0000,0002,0005
0000,0001,0001,0000,-001,0003,0000,0002,0005
0000,0002,0001,0000,-001,0001,0000,0001,0002
0000,0001,0001,-001,0000,0001,0001,0000,0002
0000,0001,0001,0000,0000,0001,0001,0001,0002
0000,0001,0001,0000,0000,0002,0000,0003,0002
-001,0001,0000,0000,-001,0002,0000,0003,0002
-001,0001,0001,0001,0000,0002,0000,0001,0002
-001,0001,0001,0001,0000,0001,-001,0000,0001
0000,0000,0000,0000,0000,0000,0000,0000,0000
0002,-001,0000,0001,0001,0000,0001,-001,0000
0001,-001,-001,0000,0000,0000,0001,0000,0000
0002,-001,0000,0000,0000,0000,0001,0000,0000
0001,0000,0000,0000,0000,0000,0001,0000,0000
0001,0000,0000,-001,0000,0000,0001,0000,0000
0001,0000,0001,0000,0000,0000,0000,-001,0000
0001,-001,0001,-001,0000,-002,0000,-001,0000
