delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
-001,-001,0000,-001,-001,0001,-001,0001,0001
-001,0000,0000,-001,-001,0001,0000,0001,0001
-001,0000,0002,-001,-001,0001,0000,0000,0001
0000,0000,-001,-001,0000,0000,0001,0000,0002
0000,0000,-001,-001,0000,0000,0001,0000,0003
0001,0000,-001,-001,0000,0000,0001,0001,0002
0000,0001,0001,0000,0002,0001,0001,0002,0003
0000,0001,0001,0000,0002,0001,0001,0002,0002
-001,0001,-001,0000,0002,0001,0001,0002,0003
-001,0002,-001,0000,0001,0002,0001,0003,0004
-001,0002,-001,0000,0001,0002,0002,0004,0004
0001,0002,0001,0000,0001,0002,0003,0005,0006
0001,0004,-001,0003,0005,0002,0006,0015,0009
0001,0004,-001,0004,0010,0002,0006,0015,0010
0001,0004,-001,0006,0020,0005,0006,0015,0010
0007,0017,0007,0006,0020,0010,0004,0014,0010
0007,0020,0011,0006,0020,0010,0001,0006,0007
0001,0020,0011,0004,0010,0009,0001,0004,0007
0001,0014,0010,0000,0009,0007,0001,0003,0004
0000,0009,0008,0000,0004,0007,-001,0002,0004
0000,0009,0008,0000,0003,0007,-001,0002,0004
0000,0003,0006,-001,0001,0004,0000,0001,0002
-002,0003,0003,-001,0000,0004,0001,0001,0002
-002,0003,0003,-001,0000,0004,0001,0001,0002
0000,0002,0002,0001,0002,0001,0001,0002,0000
0000,0002,0001,0001,0002,0001,0000,0002,0001
0000,0002,0001,0001,0002,0001,0000,0002,0001
0000,0003,0003,0001,0000,0001,0001,0002,0001
0001,0004,0003,0001,0000,0001,0001,0002,0003
0000,0004,0002,0001,0000,0001,0001,0002,0002
0000,0004,0002,0000,0001,0000,0001,0001,0002
-002,0003,0002,0000,0001,0001,0000,0001,0000
-002,0003,0003,0000,0001,0002,0000,0001,0000
-001,0002,0001,0000,0002,0002,0000,0000,0000
-001,0002,0001,0000,0002,0001,0001,0000,0000
0000,0002,0001,0000,0002,0000,0001,0000,0000
0000,0001,0000,-001,0001,0000,0002,0002,0002
0000,0002,0000,-001,0001,-001,0002,0002,0002
0000,0002,0000,-001,0001,0000,0001,0002,0001
0000,0002,0000,-001,0001,0000,0001,0001,0001
0000,0002,0000,-001,0001,0000,-001,0001,0001
0000,0002,0000,-001,0001,0002,-001,0001,0000
-001,0002,0000,0000,-001,-001,-002,0000,0000
-001,0002,-001,0000,0000,-001,-001,0000,0001
-001,0003,-001,0000,0000,-001,-001,0000,0001
0000,0001,-001,-002,0001,-001,-001,0000,0001
0000,0001,-001,-002,0001,-001,0000,0000,0000
0000,0001,0000,-002,0001,-001,0000,0000,0000
0000,0000,-001,-001,0001,0002,0001,0001,0001
0000,0000,-001,-001,0001,0002,0001,0001,0001
0001,0000,-002,0000,0001,0002,0001,0001,0001
-003,0000,-002,0000,0001,0001,0000,0001,0003
-001,0000,-002,0000,0001,0001,0000,0001,0003
-001,0000,-002,0000,0001,0001,0000,0000,0000
-001,0002,-002,0000,0000,0000,0001,0000,0000
