delta1,delta2,delta3,delta4
00000,00000,00000,00000
00000,00000,-0001,00000
00000,00000,00001,00002
-0001,00000,00000,00002
00000,00001,00000,00003
00000,00001,00001,00001
00000,00000,-0001,00001
00001,00003,00000,00002
00004,00002,00002,00003
00006,00003,00002,00006
00004,00004,00003,00007
00010,00006,00007,00008
00009,00011,00008,00017
00016,00014,00016,00020
00016,00014,00016,00025
00016,00014,00016,00025
00016,00014,00016,00027
00016,00014,00016,00027
00016,00014,00016,00028
00018,00017,00022,00023
00018,00017,00018,00023
00018,00015,00017,00025
00015,00014,00015,00023
00015,00013,00011,00023
00014,00011,00011,00017
00012,00009,00011,00017
00012,00010,00009,00015
00012,00010,00009,00016
00012,00009,00008,00015
00012,00009,00008,00017
00009,00011,00010,00016
00011,00008,00009,00018
00012,00010,00008,00014
00012,00010,00008,00012
00012,00010,00008,00016
00012,00009,00007,00014
00012,00009,00007,00015
00012,00009,00007,00014
00012,00009,00007,00012
00012,00009,00007,00012
00012,00009,00007,00014
00009,00007,00006,00012
00008,00009,00005,00009
00007,00006,00004,00009
00005,00002,00003,00007
00005,00004,00002,00005
00003,00002,00003,00005
00003,00001,00002,00004
00001,00000,00002,00004
00002,00000,-0001,00003
00002,00002,-0001,00004
00000,00000,00001,00002
00001,00000,-0001,00002
00002,00000,00000,00000
00000,00000,-0001,00001
