delta1,delta2,delta3,delta4
00000,-0003,00000,00003
00000,00000,-0002,00002
-0004,00000,-0002,00001
-0001,00001,-0001,00001
-0001,00000,-0001,00003
00000,00001,-0001,00000
00000,00002,00000,00000
00000,00001,-0001,00002
00001,00002,-0002,00002
00000,00001,-0001,00002
00001,00001,00000,00003
00002,00002,-0001,00003
00004,00005,00001,00006
00012,00010,00009,00015
00019,00017,00024,00027
00019,00017,00032,00037
00019,00017,00037,00039
00019,00017,00041,00043
00019,00017,00046,00046
00019,00017,00044,00048
00019,00022,00043,00046
00019,00019,00043,00046
00016,00016,00028,00032
00014,00013,00010,00022
00014,00013,00015,00022
00014,00013,00006,00022
00014,00013,00005,00022
00014,00013,00004,00022
00014,00013,00003,00022
00003,00002,-0002,00008
00003,00002,-0002,00005
00003,00002,-0002,00006
00003,00002,-0002,00004
00003,00002,-0002,00004
00003,00002,-0002,00002
00003,00003,-0002,00001
00001,-0001,-0001,00001
00001,00002,-0002,00001
-0003,00001,-0001,00002
00001,00001,-0001,00000
00001,00001,-0001,00003
00000,00001,-0001,00002
00000,00000,00000,00001
00000,00001,00000,00004
00001,00001,-0002,00001
00000,00001,-0002,00001
00004,-0001,00001,00000
00001,00004,-0001,-0001
00001,00001,-0001,00002
00000,-0001,-0001,00000
00000,00001,-0001,00003
00000,00001,-0001,00001
00006,-0005,-0001,00002
00000,00001,-0002,00001
00001,00003,00001,00002
