delta1,delta2,delta3,delta4
00003,00003,-0002,00000
00003,00002,00001,00001
00003,00001,00000,00003
00000,00002,00001,00001
00002,00002,00001,00003
-0001,-0002,00003,00004
00002,00003,00002,00003
00005,00002,00003,00005
00005,00003,00003,00004
00005,00004,00006,00009
00010,00007,00007,00013
00015,00010,00011,00014
00016,00014,00015,00019
00020,00021,00020,00021
00022,00027,00020,00023
00021,00027,00020,00021
00025,00026,00024,00023
00027,00026,00024,00023
00030,00030,00023,00023
00030,00030,00023,00023
00030,00030,00022,00023
00029,00031,00019,00013
00029,00031,00019,00012
00029,00031,00019,00011
00029,00031,00019,00009
00029,00031,00019,00004
00029,00031,00019,00007
00007,00015,00007,00005
00008,00019,00006,00005
00007,00019,00006,00005
00005,00019,00005,00005
00005,00019,00003,00005
00004,00019,00005,00005
00005,00007,00004,00003
00005,00005,00004,00003
00005,00006,00004,00003
00005,00004,00004,00003
00005,00003,00004,00003
00005,00003,00004,00003
00001,00003,00004,00001
00002,00004,00004,00002
00001,00001,00004,00001
00003,00002,00002,00002
00001,00003,00002,00002
00001,00002,00003,00002
00001,00000,00003,00003
00003,00005,00001,00001
00003,00002,00005,00002
00002,00003,00001,00001
00001,00001,00003,00002
00002,00001,00003,00000
00003,00003,00000,00002
00003,00001,00002,00003
-0001,00002,00003,00002
-0001,00001,00002,00000
