delta1,delta2,delta3,delta4
-0001,00005,00000,00002
00000,00000,00000,00003
00002,00001,00000,00003
00001,00001,00002,00002
00000,00002,00002,00002
-0003,00001,00003,00003
-0001,00002,00002,00004
00000,00001,00001,00002
00000,00004,00001,00003
00000,00002,00002,00003
00000,00005,00000,00005
00003,00003,00001,00006
00005,00004,00003,00006
00005,00006,00005,00010
00016,00008,00013,00028
00016,00008,00013,00024
00016,00008,00013,00033
00016,00008,00013,00025
00016,00008,00013,00018
00018,00032,00007,00008
00018,00023,00007,00008
00018,00015,00007,00008
00009,00011,00003,00002
00003,00007,00003,00004
00003,00003,00002,00002
00000,00003,00000,00002
-0002,00002,00001,00002
-0001,00003,00001,00002
-0001,00002,00001,00003
00001,00001,00001,00002
-0003,00001,00001,00002
-0002,00004,00002,00002
-0001,00001,00001,00002
-0001,00002,00000,00003
-0001,00002,00000,00004
-0001,00002,00002,00001
00000,00001,00000,00001
00000,00002,00001,00001
-0005,-0005,-0005,-0006
00006,00009,00000,00002
-0003,00001,00003,00003
00000,00001,00000,00003
-0001,00002,00001,00000
-0001,00001,00000,00002
-0001,00002,00001,00000
-0001,00001,00002,00005
-0002,00001,00002,00000
00000,00000,00001,00001
00000,00002,00001,00002
-0001,00003,00002,00002
-0002,00001,00002,00001
00001,00001,00002,00003
00000,00000,00001,00001
-0002,00001,00001,00001
-0001,00002,00002,00002
