delta1,delta2,delta3,delta4
00000,00001,00000,00001
-0001,00003,00000,00002
00000,00001,00000,00002
-0001,00000,-0001,00001
-0001,00003,00000,00001
00001,00002,-0001,00002
00000,00005,00000,00002
00002,00002,00000,00003
00000,00002,00001,00002
00004,00006,00002,00003
00003,00007,00003,00004
00007,00010,00005,00006
00010,00015,00009,00006
00015,00022,00016,00017
00015,00025,00016,00017
00015,00031,00016,00017
00015,00030,00016,00017
00015,00034,00016,00017
00015,00035,00016,00017
00027,00034,00038,00039
00033,00034,00039,00044
00029,00034,00030,00041
00033,00034,00026,00051
00029,00034,00019,00054
00025,00034,00019,00048
00021,00010,00009,00043
00021,00007,00009,00043
00021,00003,00009,00043
00021,00004,00009,00043
00021,00004,00009,00043
00021,00002,00009,00043
00002,00001,00002,00006
00004,00001,00002,00005
00002,00001,00002,00003
00000,00001,00002,00004
00000,00001,00002,00003
00000,00001,00002,00002
00000,00001,00000,00001
00000,00001,00000,00003
-0001,00000,-0002,00000
-0002,00001,00001,00003
-0001,00001,-0001,00000
-0001,00001,-0002,00001
00000,00002,-0001,00001
-0002,00002,-0001,00003
-0001,00001,-0001,00002
-0003,00000,00001,00001
-0001,00002,-0002,00000
-0001,00001,00000,00001
-0001,00001,-0001,00001
-0001,00000,-0001,00001
-0001,00002,-0001,00001
-0002,00001,00000,00001
-0002,00000,-0001,00002
-0001,00001,-0002,00002
