delta1,delta2,delta3,delta4
00004,00004,00000,00003
00005,00004,00000,00002
00002,00004,00001,00001
00004,00001,00001,00002
00006,00002,00002,00002
00003,00005,00002,00001
00007,00005,00001,-0004
00004,00006,00003,00003
00007,00008,00003,00004
00010,00011,00003,00004
00014,00016,00004,00007
00016,00016,00008,00007
00017,00015,00010,00015
00017,00013,00015,00020
00017,00013,00015,00023
00017,00013,00015,00024
00017,00013,00015,00025
00017,00013,00015,00024
00017,00013,00015,00024
00013,00010,00008,00019
00009,00003,00002,00023
00006,00004,00001,00008
00006,00004,00001,00003
00006,00004,00001,00002
00006,00004,00001,00004
00006,00004,00001,00003
00006,00004,00001,00003
00002,00002,-0001,00006
00003,00002,-0002,00002
00000,00004,00000,00001
00002,00004,00000,00001
00003,00002,-0002,00001
00003,00001,00000,00002
00004,00002,00000,00002
00000,00004,00001,00001
00001,00001,-0001,00003
00001,00002,00000,00002
00002,00000,-0001,00001
00003,00001,00001,00003
00003,00002,00000,00002
00002,00000,00000,00001
00002,00001,00000,00001
00005,00002,00001,00000
00001,00003,-0001,-0001
00002,00000,-0001,00001
00001,00000,-0001,00001
00003,00000,00000,00001
00002,00002,00000,00000
00001,00000,00001,00000
00002,00001,-0001,00001
00001,00002,00000,00001
00001,00001,-0001,00000
00001,00001,00001,00002
00002,00001,00002,00001
00002,00001,00002,00000
