delta1,delta2,delta3,delta4
00007,00000,00002,00003
00003,00003,00002,00005
00010,00006,00002,00004
00011,00005,00001,00006
00013,00009,00005,00010
00011,00006,00006,00012
00013,00009,00007,00013
00012,00011,00008,00012
00015,00011,00009,00016
00019,00012,00011,00017
00017,00011,00010,00020
00017,00011,00010,00020
00015,00014,00015,00021
00015,00014,00015,00021
00015,00014,00015,00024
00015,00014,00015,00024
00015,00014,00015,00023
00015,00014,00015,00024
00012,00015,00017,00023
00013,00013,00018,00024
00010,00013,00017,00022
00008,00012,00018,00021
00005,00020,00023,00018
00005,00013,00020,00018
00009,00007,00016,00020
00009,00012,00015,00020
00011,00011,00013,00021
00007,00008,00012,00022
00006,00010,00011,00020
00007,00009,00011,00019
00007,00008,00008,00015
00007,00008,00008,00014
00007,00008,00008,00013
00007,00008,00008,00015
00007,00008,00008,00012
00007,00008,00008,00009
00004,00006,00005,00009
-0003,00011,00005,00006
00000,00004,00004,00007
00002,00003,00002,00006
00001,00004,00001,00003
00001,00002,00001,00004
00010,00008,00001,-0002
00002,00003,00001,00000
00000,00001,00001,00002
00001,00001,00000,00003
-0001,00001,00001,00002
00001,00001,00000,00001
00000,00001,00000,00003
00000,00002,00001,00002
00000,00001,00000,00003
00001,00004,00000,00001
00001,00003,00000,00002
-0001,00001,00001,00003
00000,00001,00000,00001
