delta1,delta2,delta3,delta4
00000,00001,00001,00000
00000,00000,-0001,-0001
00000,-0001,-0001,-0001
-0001,00001,00001,00000
00002,00000,00000,-0001
00003,00001,-0001,00000
00005,00003,00000,00001
00013,00003,00000,00006
00017,00005,00007,00013
00012,00006,00011,00015
00012,00008,00010,00020
00012,00008,00010,00021
00012,00008,00010,00021
00012,00008,00010,00015
00012,00008,00011,00024
00012,00008,00011,00021
00012,00008,00011,00023
00012,00008,00011,00018
00007,00005,00009,00018
00006,00004,00007,00015
00005,00004,00005,00013
00004,00003,00005,00014
00005,00003,00004,00007
00003,00003,00004,00007
00002,00002,00004,00007
00002,00004,00003,00006
00005,00003,00003,00009
00002,00001,00003,00007
00004,00001,00003,00006
00003,00002,00001,00005
00005,00003,00002,00003
00003,00004,00001,00003
00002,00002,00001,00005
00004,00001,00000,00003
00002,00003,00001,00001
-0001,00002,00000,00002
00002,00000,00001,00001
00003,00002,00000,00001
00002,00002,-0001,-0001
-0001,00001,-0001,-0001
00000,-0004,-0001,00000
00000,00000,00000,-0001
00001,00001,-0001,00000
00001,00001,00000,-0001
-0003,-0001,-0001,00000
00001,00002,-0002,-0001
00000,00001,-0001,-0001
00002,00000,-0001,-0002
00001,00001,00001,-0001
00000,00002,-0002,-0001
00001,00001,-0001,-0001
00002,-0001,-0001,-0002
-0001,00000,-0001,-0002
00000,-0002,-0001,00000
-0002,00000,00000,-0002
