delta1,delta2,delta3,delta4
00000,00001,00001,00000
00003,00002,-0003,-0005
00000,-0001,00001,00000
00000,00000,00001,00002
-0002,00002,00003,00000
00002,00000,-0001,00002
00000,00001,00001,00001
00001,00000,00002,00002
00001,00001,00002,00001
00002,00000,00002,00003
00003,00002,00002,00003
00004,00007,00013,00006
00011,00006,00009,00012
00013,00015,00017,00016
00016,00019,00023,00022
00016,00019,00026,00026
00016,00019,00029,00027
00016,00019,00031,00029
00016,00019,00032,00030
00016,00019,00033,00032
00019,00023,00034,00030
00019,00024,00034,00030
00019,00026,00034,00030
00019,00022,00034,00030
00019,00024,00034,00030
00019,00024,00034,00030
00021,00027,00034,00030
00021,00027,00034,00030
00023,00027,00034,00030
00023,00027,00034,00030
00026,00027,00034,00030
00024,00027,00034,00030
00025,00028,00044,00038
00021,00025,00040,00034
00019,00023,00031,00026
00013,00015,00023,00021
00014,00016,00023,00021
00013,00016,00023,00021
00012,00016,00023,00021
00011,00016,00023,00021
00009,00016,00023,00021
00010,00009,00010,00009
00010,00006,00008,00010
00010,00006,00005,00008
00010,00005,00005,00005
00010,00006,00003,00009
00010,00002,00004,00004
00006,00001,00003,00001
00001,00002,00001,00002
00000,00002,00001,-0001
-0001,00000,00001,00002
00000,00001,00000,00002
-0001,00000,00000,00000
-0001,-0002,00000,00000
00001,00001,00000,00000
