delta1,delta2,delta3,delta4
00002,00000,-0002,00000
-0001,00002,00000,00001
-0001,00001,-0001,00002
00001,00000,00000,00001
00000,00001,-0001,00001
00000,00001,-0002,00001
00003,-0002,-0001,00000
00000,-0001,00000,00003
00000,00000,-0001,00002
00002,00003,-0001,00003
00004,00005,00001,00007
00001,00003,00005,00009
00007,00007,00005,00012
00011,00009,00013,00019
00011,00011,00024,00027
00011,00011,00027,00028
00011,00011,00029,00032
00011,00011,00028,00027
00011,00011,00029,00030
00011,00011,00027,00027
00009,00010,00025,00026
00009,00009,00017,00019
00008,00008,00008,00012
00008,00008,00007,00012
00008,00008,00006,00009
00008,00008,00003,00007
00008,00008,00003,00006
00008,00008,00003,00007
00002,00003,00001,00006
00001,00002,00001,00006
00001,00001,00001,00003
-0001,-0001,-0001,00003
00005,00000,00001,00002
00001,00002,-0001,00001
-0001,-0001,-0001,00001
-0001,00000,-0001,00002
00002,00001,-0003,00000
00002,00002,-0002,00001
-0004,00001,-0004,00002
00003,00004,-0001,-0001
00001,00003,-0001,00001
00000,00001,-0001,00003
-0001,00001,-0001,00003
00000,00000,-0002,00002
00002,00000,-0002,00002
-0001,00003,00000,00001
-0004,00001,-0001,00002
00001,00001,-0002,00001
-0001,00000,-0001,00001
-0001,00001,-0001,00001
00004,00002,-0001,00002
00000,00001,00000,00002
-0002,00000,-0001,00002
00001,00001,-0001,00000
00002,00000,-0002,00000
