delta1,delta2,delta3,delta4
00002,00002,-0001,00000
00002,00000,00000,00002
00003,00001,-0001,00001
00004,00002,00000,00002
00000,-0006,00003,-0002
00002,00002,-0001,00001
00002,00002,-0001,00001
00003,00003,00000,00000
00000,00001,00000,00002
00002,00002,00000,00001
00001,00002,00000,00000
00002,00003,00000,00003
00001,00002,00001,00006
00006,00004,00002,00012
00013,00006,00007,00028
00013,00006,00007,00034
00013,00006,00007,00037
00013,00006,00007,00040
00013,00006,00007,00042
00013,00006,00007,00043
00028,00024,00030,00040
00025,00025,00029,00040
00026,00028,00035,00040
00029,00028,00039,00040
00026,00032,00038,00040
00026,00033,00036,00040
00032,00038,00033,00029
00031,00040,00020,00015
00031,00040,00020,00010
00031,00040,00020,00008
00031,00040,00020,00006
00031,00040,00020,00005
00031,00040,00020,00004
00007,00010,00000,00002
00007,00007,00001,00002
00004,00005,00001,00002
00000,00004,00002,00002
00003,00005,00000,00002
00004,00004,00000,00002
00002,00002,00000,00003
00001,00002,00000,00002
00000,00000,00000,00001
00002,00003,-0002,00001
00001,00003,-0001,00002
00001,00002,-0002,00001
00002,00000,-0002,00004
00002,00002,-0002,00001
00001,00001,-0001,00002
00000,00002,-0004,-0002
00002,00000,00001,00002
00001,00001,00000,00001
00002,00003,-0002,00002
00003,00000,00002,00001
-0001,00005,-0002,-0002
00003,00002,-0002,00000
