delta1,delta2,delta3,delta4
00001,00001,00001,00003
00001,-0001,00001,00002
-0001,00002,-0001,00002
00000,00000,00002,00001
00002,00000,00001,00002
00003,00000,00001,00002
00002,00001,00001,00002
00002,00002,00000,00002
00004,00002,00001,00001
00001,00001,00001,00002
00001,00000,00001,00002
00002,00002,00001,00004
00005,00002,00003,00004
00012,00004,00005,00016
00017,00010,00013,00023
00017,00010,00013,00019
00016,00015,00011,00013
00013,00010,00004,00008
00002,00002,00001,00001
00001,00002,00001,00003
00003,00001,00000,00001
00001,00001,00002,00001
00001,00000,00002,00001
00001,00000,00002,00001
00001,00000,00000,00002
00000,00000,00000,00001
00002,00001,00000,00001
00000,00001,-0001,00001
00003,00000,00001,00003
-0001,00000,-0001,00000
00001,00000,00001,00002
00001,00000,00001,00001
-0001,00001,-0001,00001
-0001,00000,00001,00001
00000,00000,00002,00002
00004,00000,00001,00000
-0001,00000,00000,00002
00001,00001,00002,00001
00000,00001,00000,00001
00000,00000,-0001,00001
00000,00000,00001,00001
00002,00000,00002,00003
00000,00001,00001,00000
00002,00001,00001,00003
00001,00001,00000,00001
-0002,00000,-0001,00002
00000,-0001,00002,00004
00000,-0001,00001,00002
00000,00000,00000,00003
00000,00000,00001,00001
00004,-0004,-0002,00002
00001,00001,00000,00004
00003,00002,00001,00004
00005,00003,00001,00010
00010,00003,00006,00016
